playerName,sal,team,opp,proj,actual
Pekka Rinne,8400,NSH,MIN,7.1,6.4
Connor Hellebuyck,7800,WPJ,BOS,5.73,4.6
Kari Lehtonen,7500,DAL,PHI,5.63,7.2
John Gibson,8300,ANA,VAN,5.62,2.2
Jaroslav Halak,7400,NYI,OTT,5.42,6.6
Sergei Bobrovsky,8100,CBJ,EDM,5.41,4.4
Mike Condon,7300,OTT,NYI,5.17,1.4
Keith Kinkaid,7900,NJD,CAR,4.92,6.2
Aaron Dell,7300,SJS,STL,4.35,2.8
Jake Allen,7700,STL,SJS,4.1,5.4
Jimmy Howard,6900,DET,PIT,4.04,5.4
Jacob Markstrom,7000,VAN,ANA,4.03,6.6
Devan Dubnyk,7200,MIN,NSH,3.95,4.6
Petr Mrazek,7400,PHI,DAL,3.92,1.0
Cam Talbot,7200,EDM,CBJ,3.82,-2.4
Scott Darling,7100,CAR,NJD,3.68,4.2
Anton Khudobin,7500,BOS,WPJ,3.37,1.6
