playerName,sal,team,opp,proj,actual
Connor Hellebuyck,8500,WPJ,CHI,6.56,6.0
Jonathan Quick,8200,LAK,DET,6.41,6.0
Pekka Rinne,8400,NSH,ARI,6.39,7.4
Philipp Grubauer,7500,WSH,NYI,5.67,7.0
Curtis McElhinney,8100,TOR,BUF,5.61,8.6
Tristan Jarry,8100,PIT,MTL,5.57,3.4
Petr Mrazek,7700,PHI,CBJ,5.38,-2.8
Anton Khudobin,7800,BOS,FLO,4.69,2.0
Jake Allen,7600,STL,COL,4.07,0.8
Robin Lehner,7100,BUF,TOR,3.91,2.8
Christopher Gibson,7200,NYI,WSH,3.87,-3.6
James Reimer,7600,FLO,BOS,3.84,14.2
Anton Forsberg,6800,CHI,WPJ,3.83,-2.4
Semyon Varlamov,7400,COL,STL,3.6,10.8
Sergei Bobrovsky,7600,CBJ,PHI,3.57,5.4
Antti Niemi,7000,MTL,PIT,3.19,2.8
Darcy Kuemper,6900,ARI,NSH,3.01,2.2
