playerName,sal,team,opp,proj,actual
James Reimer,8100,FLO,OTT,5.8,2.4
Andrei Vasilevskiy,7800,TBL,BOS,5.7,2.2
Juuse Saros,7800,NSH,SJS,5.52,7.8
Sergei Bobrovsky,8300,CBJ,CGY,5.37,9.4
Cam Talbot,7500,EDM,VAN,4.88,3.6
Jack Campbell,8200,LAK,ARI,4.72,5.0
Devan Dubnyk,7900,MIN,DAL,4.6,6.8
Tuukka Rask,7900,BOS,TBL,4.56,6.2
Kari Lehtonen,7300,DAL,MIN,4.42,-0.6
Jacob Markstrom,7400,VAN,EDM,4.3,9.0
Craig Anderson,7100,OTT,FLO,4.2,5.8
Darcy Kuemper,6900,ARI,LAK,3.49,3.2
Martin Jones,7200,SJS,NSH,3.32,1.4
Keith Kinkaid,7600,NJD,PIT,3.19,2.2
Jimmy Howard,7500,DET,BUF,3.08,5.8
