playerName,sal,team,opp,proj,actual
Jonathan Quick,7900,LAK,CBJ,6.17,7.0
Pekka Rinne,8300,NSH,EDM,6.07,7.8
Martin Jones,8300,SJS,CHI,5.85,7.4
Tuukka Rask,8000,BOS,PIT,5.84,3.4
Roberto Luongo,7800,FLO,NJD,5.42,6.8
Alex Stalock,8400,MIN,ARI,5.24,0.0
Petr Mrazek,8200,PHI,CAR,5.24,2.2
Ben Bishop,7500,DAL,TBL,4.93,-1.0
Louis Domingue,8000,TBL,DAL,4.71,5.2
Cory Schneider,7400,NJD,FLO,4.27,2.2
Antti Raanta,7100,ARI,MIN,3.95,6.4
Cam Talbot,6800,EDM,NSH,3.73,3.6
Cam Ward,6900,CAR,PHI,3.51,6.2
Casey DeSmith,7600,PIT,BOS,3.45,-2.6
Joonas Korpisalo,7100,CBJ,LAK,3.31,0.8
