playerName,sal,team,opp,proj,actual
Andrei Vasilevskiy,8300,TBL,NYI,6.62,4.0
Pekka Rinne,8400,NSH,TOR,5.85,-0.4
Semyon Varlamov,8100,COL,LAK,5.67,-2.0
Philipp Grubauer,8000,WSH,DET,5.37,12.8
J-F Berube,7100,CHI,VAN,5.35,-1.2
Alex Lyon,7800,PHI,NYR,5.19,6.6
Cam Ward,7900,CAR,ARI,5.13,3.6
Cam Talbot,7500,EDM,OTT,4.93,7.6
Jacob Markstrom,7400,VAN,CHI,4.69,8.8
Sergei Bobrovsky,7900,CBJ,FLO,4.57,11.6
Roberto Luongo,7800,FLO,CBJ,4.55,2.8
Martin Jones,7600,SJS,VGK,4.42,6.8
Jonathan Quick,7200,LAK,COL,3.89,9.8
Darcy Kuemper,7100,ARI,CAR,3.88,-1.2
Frederik Andersen,7400,TOR,NSH,3.79,5.6
Craig Anderson,7300,OTT,EDM,3.74,0.4
Jimmy Howard,6900,DET,WSH,3.63,4.0
Alexandar Georgiev,7000,NYR,PHI,3.62,2.4
Christopher Gibson,7000,NYI,TBL,3.53,-2.4
