playerName,sal,team,opp,proj,actual
Andrei Vasilevskiy,8500,TBL,NYR,6.45,5.4
Marc-Andre Fleury,8300,VGK,DET,6.18,10.6
Pekka Rinne,8200,NSH,ANA,6.17,7.2
Connor Hellebuyck,8100,WPJ,NJD,5.68,11.2
Martin Jones,8100,SJS,STL,5.63,8.2
Cam Talbot,7800,EDM,NYI,5.58,8.0
Jonathan Quick,8000,LAK,WSH,5.45,7.0
Tuukka Rask,8200,BOS,PHI,5.24,7.2
Craig Anderson,7600,OTT,BUF,4.99,3.2
Alex Lyon,7100,PHI,BOS,4.93,1.8
Roberto Luongo,8400,FLO,MTL,4.56,13.0
Jake Allen,7200,STL,SJS,4.55,5.8
Philipp Grubauer,7000,WSH,LAK,4.53,3.2
Joonas Korpisalo,7700,CBJ,COL,4.43,3.6
Semyon Varlamov,7700,COL,CBJ,4.1,2.8
Jimmy Howard,6800,DET,VGK,4.05,1.6
J-F Berube,7500,CHI,CAR,4.03,4.4
Cory Schneider,7400,NJD,WPJ,3.79,1.2
Robin Lehner,7500,BUF,OTT,3.76,7.4
Henrik Lundqvist,7000,NYR,TBL,3.63,1.4
John Gibson,7300,ANA,NSH,3.6,0.8
Scott Darling,7500,CAR,CHI,3.53,5.4
Charlie Lindgren,6900,MTL,FLO,3.33,0.4
