playerName,sal,team,opp,proj,actual
Louis Domingue,8200,TBL,ARI,6.73,3.2
Jonathan Quick,8300,LAK,CGY,6.07,9.6
Carey Price,7800,MTL,DET,5.64,6.2
Philipp Grubauer,8200,WSH,NYR,5.61,6.6
Mike Smith,7100,CGY,LAK,5.47,2.2
Frederik Andersen,8500,TOR,BUF,5.39,1.8
Martin Jones,8100,SJS,CHI,5.23,5.6
Marc-Andre Fleury,8200,VGK,COL,5.02,7.6
Cam Ward,7700,CAR,OTT,4.98,5.8
James Reimer,7700,FLO,NYI,4.95,13.4
Semyon Varlamov,7400,COL,VGK,4.79,2.2
Chad Johnson,7000,BUF,TOR,4.52,8.8
Craig Anderson,7200,OTT,CAR,4.4,2.2
Christopher Gibson,7100,NYI,FLO,4.34,4.6
Anton Forsberg,6900,CHI,SJS,4.31,4.0
Jared Coreau,7300,DET,MTL,3.71,1.4
Alexandar Georgiev,7000,NYR,WSH,3.58,-2.4
Antti Raanta,6900,ARI,TBL,3.39,5.8
