playerName,sal,team,opp,proj,actual
Andrei Vasilevskiy,8200,TBL,TOR,6.41,5.4
Marc-Andre Fleury,8500,VGK,VAN,6.18,4.4
Semyon Varlamov,8400,COL,CHI,5.57,10.8
James Reimer,8200,FLO,OTT,5.4,7.6
Braden Holtby,7900,WSH,DAL,5.2,4.8
Sergei Bobrovsky,8100,CBJ,NYR,5.14,5.8
Petr Mrazek,8000,PHI,DET,4.85,0.2
Scott Darling,7600,CAR,EDM,4.7,-2.4
Jacob Markstrom,6900,VAN,VGK,4.59,0.8
Cam Talbot,7500,EDM,CAR,4.41,6.0
Martin Jones,8100,SJS,NJD,4.15,6.2
Jimmy Howard,6800,DET,PHI,4.14,4.4
Christopher Gibson,7100,NYI,PIT,3.86,9.2
Anton Forsberg,6800,CHI,COL,3.82,3.0
Henrik Lundqvist,7200,NYR,CBJ,3.68,1.2
Craig Anderson,7000,OTT,FLO,3.68,-1.4
Kari Lehtonen,7100,DAL,WSH,3.65,1.6
Frederik Andersen,7500,TOR,TBL,3.4,0.2
Cory Schneider,7400,NJD,SJS,3.21,-2.0
