playerName,sal,team,opp,proj,actual
Marc-Andre Fleury,8500,VGK,OTT,6.5,1.6
John Gibson,8200,ANA,CBJ,6.45,7.8
Jaroslav Halak,8100,NYI,MTL,6.35,-1.2
Connor Hellebuyck,8400,WPJ,DET,6.06,6.0
Jon Gillies,7900,CGY,NYR,5.91,1.8
Juuse Saros,8100,NSH,VAN,5.53,4.8
James Reimer,7800,FLO,BUF,5.22,6.8
Henrik Lundqvist,7400,NYR,CGY,4.7,12.0
Devan Dubnyk,7700,MIN,COL,4.46,-2.6
Cam Ward,7100,CAR,NJD,4.41,7.0
Semyon Varlamov,7600,COL,MIN,4.29,8.2
Sergei Bobrovsky,7200,CBJ,ANA,4.2,2.2
Keith Kinkaid,7600,NJD,CAR,4.04,3.4
Jacob Markstrom,6800,VAN,NSH,3.99,3.8
Craig Anderson,6700,OTT,VGK,3.79,4.0
Charlie Lindgren,7000,MTL,NYI,3.61,6.4
Jimmy Howard,6800,DET,WPJ,3.36,3.6
Robin Lehner,6900,BUF,FLO,3.07,1.2
