playerName,sal,team,opp,proj,actual
Devan Dubnyk,8400,MIN,CAR,6.79,6.8
Andrei Vasilevskiy,8300,TBL,FLO,6.34,8.0
Marc-Andre Fleury,7900,VGK,CBJ,5.92,0.4
Steve Mason,8000,WPJ,NYR,5.88,11.2
Pekka Rinne,8100,NSH,DAL,5.84,10.2
Keith Kinkaid,7800,NJD,MTL,5.49,4.8
Anton Khudobin,8300,BOS,DET,5.46,4.0
John Gibson,7700,ANA,WSH,5.35,12.2
Braden Holtby,7500,WSH,ANA,4.49,-1.8
Semyon Varlamov,8000,COL,CHI,4.15,3.0
Charlie Lindgren,7000,MTL,NJD,3.65,-0.6
Roberto Luongo,7100,FLO,TBL,3.43,0.6
Kari Lehtonen,7100,DAL,NSH,3.38,5.4
Henrik Lundqvist,7200,NYR,WPJ,3.36,4.2
Joonas Korpisalo,7200,CBJ,VGK,3.27,9.4
Cam Ward,6900,CAR,MIN,2.36,-2.2
