playerName,sal,pos,team,opp,line,ppLine,proj,actual
Alex Ovechkin,7900,LW,WSH,NYI,1,1,5.88,3.0
Evgeni Malkin,7800,C,PIT,MTL,2,1,5.58,5.5
Sidney Crosby,7400,C,PIT,MTL,1,1,5.34,4.5
Patrik Laine,7400,RW,WPJ,CHI,1,1,5.23,4.0
Nathan MacKinnon,7300,C,COL,STL,1,1,5.18,10.0
Blake Wheeler,6800,RW,WPJ,CHI,2,1,5.09,4.5
Claude Giroux,6200,LW,PHI,CBJ,1,1,4.95,4.0
Brad Marchand,7200,LW,BOS,FLO,1,0,4.68,0.5
Dustin Byfuglien,5600,D,WPJ,CHI,5,1,4.62,2.5
Kris Letang,6000,D,PIT,MTL,5,1,4.61,6.0
Patrick Kane,6700,RW,CHI,WPJ,1,1,4.61,2.5
Sean Couturier,6500,C,PHI,CBJ,1,1,4.53,4.5
John Carlson,6100,D,WSH,NYI,6,1,4.48,5.0
Jakub Voracek,6100,RW,PHI,CBJ,2,1,4.47,1.0
Phil Kessel,7100,RW,PIT,MTL,3,1,4.44,3.5
Evgeny Kuznetsov,6100,C,WSH,NYI,1,1,4.41,6.5
David Pastrnak,7000,RW,BOS,FLO,1,1,4.4,2.0
Vladimir Tarasenko,6600,RW,STL,COL,1,1,4.37,4.0
Aleksander Barkov,7000,C,FLO,BOS,1,1,4.34,3.0
Patric Hornqvist,6800,RW,PIT,MTL,2,1,4.24,13.5
Shayne Gostisbehere,5600,D,PHI,CBJ,5,1,4.19,5.5
Tyson Barrie,5700,D,COL,STL,5,1,4.19,2.0
Anze Kopitar,6900,C,LAK,DET,1,1,4.11,10.5
Nicklas Backstrom,5500,C,WSH,NYI,2,1,4.08,8.5
Roman Josi,6400,D,NSH,ARI,5,2,4.05,1.5
Mikko Rantanen,6400,RW,COL,STL,1,1,4.04,12.0
Nikolaj Ehlers,6400,LW,WPJ,CHI,1,2,4.01,2.0
Alex Pietrangelo,5700,D,STL,COL,5,2,4.0,4.0
Ryan O'Reilly,6200,C,BUF,TOR,1,1,3.92,3.0
John Tavares,7100,C,NYI,WSH,1,1,3.89,1.0
Viktor Arvidsson,6900,RW,NSH,ARI,1,1,3.82,1.5
Vincent Trocheck,6700,C,FLO,BOS,2,1,3.82,5.0
Torey Krug,5900,D,BOS,FLO,5,1,3.74,4.5
Brendan Gallagher,5200,RW,MTL,PIT,1,1,3.72,3.5
Seth Jones,6300,D,CBJ,PHI,5,1,3.7,3.0
Artemi Panarin,6700,LW,CBJ,PHI,1,1,3.67,5.5
Jaden Schwartz,5300,LW,STL,COL,1,1,3.65,2.5
Jonathan Toews,5400,C,CHI,WPJ,1,1,3.64,1.5
Nazem Kadri,6400,C,TOR,BUF,1,1,3.62,1.0
P.K. Subban,5800,D,NSH,ARI,7,1,3.59,0.5
Ivan Provorov,4900,D,PHI,CBJ,5,2,3.59,6.5
Ryan Ellis,6200,D,NSH,ARI,6,2,3.54,4.5
Brayden Schenn,5300,C,STL,COL,1,1,3.51,2.5
Evgenii Dadonov,6600,LW,FLO,BOS,1,1,3.5,5.0
Drew Doughty,5900,D,LAK,DET,5,1,3.48,7.0
Paul Stastny,5800,C,WPJ,CHI,1,0,3.42,4.0
Mitchell Marner,6300,RW,TOR,BUF,2,1,3.42,5.0
Rick Nash,6000,RW,BOS,FLO,2,1,3.41,3.0
Rasmus Ristolainen,5200,D,BUF,TOR,5,1,3.4,6.5
Keith Yandle,5500,D,FLO,BOS,5,1,3.39,5.0
Filip Forsberg,6500,LW,NSH,ARI,3,1,3.38,0.0
Gabriel Landeskog,5500,LW,COL,STL,1,1,3.35,7.5
Jake Guentzel,6200,LW,PIT,MTL,1,2,3.31,2.0
Kyle Connor,4800,LW,WPJ,CHI,2,1,3.23,8.5
Jonathan Huberdeau,6100,LW,FLO,BOS,2,1,3.2,0.0
Morgan Rielly,5400,D,TOR,BUF,5,1,3.19,7.0
Jeff Petry,4300,D,MTL,PIT,5,1,3.17,4.5
Oliver Ekman-Larsson,4500,D,ARI,NSH,5,1,3.17,6.0
T.J. Oshie,4700,RW,WSH,NYI,2,1,3.1,7.5
David Krejci,5900,C,BOS,FLO,2,1,3.09,1.5
Ryan Johansen,5700,C,NSH,ARI,1,1,3.07,0.0
Henrik Zetterberg,4500,C,DET,LAK,1,1,3.04,0.0
Cam Atkinson,6300,RW,CBJ,PHI,1,1,2.99,13.5
Jonathan Drouin,4300,C,MTL,PIT,1,1,2.99,3.0
Dylan Larkin,4700,C,DET,LAK,2,2,2.98,1.5
Wayne Simmonds,4800,RW,PHI,CBJ,3,1,2.93,1.0
Duncan Keith,4200,D,CHI,WPJ,5,2,2.93,1.5
Tyler Myers,4100,D,WPJ,CHI,6,2,2.92,3.0
