playerName,sal,pos,team,opp,line,ppLine,proj,actual
Johnny Gaudreau,7300,LW,CGY,BUF,1,1,5.64,4.5
Mark Giordano,5300,D,CGY,BUF,5,1,5.5,6.5
Sean Monahan,7000,C,CGY,BUF,1,1,5.31,7.0
Dougie Hamilton,5700,D,CGY,BUF,5,1,5.31,5.0
Claude Giroux,7000,LW,PHI,PIT,1,1,4.84,3.5
Matthew Tkachuk,6100,LW,CGY,BUF,2,1,4.66,3.0
Evgeni Malkin,7700,C,PIT,PHI,2,1,4.57,6.5
Sean Couturier,6800,C,PHI,PIT,1,1,4.52,1.0
Sidney Crosby,7200,C,PIT,PHI,1,1,4.51,8.0
Ryan O'Reilly,6500,C,BUF,CGY,1,1,4.37,0.5
Alexander Edler,5600,D,VAN,ARI,5,1,4.31,2.0
Bo Horvat,6200,C,VAN,ARI,2,1,4.21,0.5
Shayne Gostisbehere,6000,D,PHI,PIT,5,1,4.12,3.0
Rasmus Ristolainen,5500,D,BUF,CGY,5,1,4.09,1.0
Mikael Backlund,5700,C,CGY,BUF,2,2,4.06,2.0
Jakub Voracek,6300,RW,PHI,PIT,2,1,3.97,5.0
Kris Letang,5800,D,PIT,PHI,5,1,3.74,2.0
Phil Kessel,7200,RW,PIT,PHI,3,1,3.56,4.0
Ivan Provorov,5100,D,PHI,PIT,5,2,3.43,2.5
Daniel Sedin,5100,LW,VAN,ARI,1,1,3.37,0.5
Oliver Ekman-Larsson,4900,D,ARI,VAN,5,1,3.37,5.0
Michael Frolik,4200,RW,CGY,BUF,2,0,3.33,1.0
T.J. Brodie,4000,D,CGY,BUF,6,2,3.29,4.5
Patric Hornqvist,6800,RW,PIT,PHI,1,1,3.21,2.5
Sam Reinhart,5200,RW,BUF,CGY,1,1,3.16,1.5
Travis Konecny,5400,RW,PHI,PIT,1,2,3.06,4.5
Micheal Ferland,4700,RW,CGY,BUF,1,0,3.03,2.5
Derek Stepan,5900,C,ARI,VAN,1,2,2.8,4.5
Clayton Keller,5900,RW,ARI,VAN,1,1,2.77,7.0
Kyle Okposo,4400,RW,BUF,CGY,2,1,2.68,1.5
Wayne Simmonds,5000,RW,PHI,PIT,3,1,2.53,1.5
Sam Bennett,3300,LW,CGY,BUF,3,2,2.43,6.5
Jake Guentzel,5600,LW,PIT,PHI,1,2,2.42,4.0
Henrik Sedin,4100,C,VAN,ARI,1,1,2.39,0.0
Derrick Pouliot,3200,D,VAN,ARI,5,2,2.29,1.5
Marco Scandella,3400,D,BUF,CGY,5,2,2.27,1.0
Michael Del Zotto,3600,D,VAN,ARI,6,2,2.26,0.5
Max Domi,4800,LW,ARI,VAN,2,1,2.24,0.0
Nolan Patrick,4800,C,PHI,PIT,2,2,2.17,2.5
Christian Dvorak,4500,C,ARI,VAN,2,2,2.15,2.0
Michael Stone,2800,D,CGY,BUF,7,2,2.1,2.0
Christian Fischer,4300,RW,ARI,VAN,2,1,2.08,0.0
Mark Jankowski,3200,C,CGY,BUF,3,0,2.06,7.0
Jakob Chychrun,3900,D,ARI,VAN,6,1,2.01,1.0
Derick Brassard,5200,C,PIT,PHI,3,2,1.85,1.0
Bryan Rust,4500,RW,PIT,PHI,2,0,1.84,0.0
Garnet Hathaway,2900,RW,CGY,BUF,3,0,1.82,2.0
Sam Gagner,3300,C,VAN,ARI,3,2,1.82,4.5
Jake Virtanen,3200,RW,VAN,ARI,2,2,1.77,1.0
Olli Maatta,4200,D,PIT,PHI,7,2,1.72,2.0
Justin Schultz,4500,D,PIT,PHI,6,2,1.7,2.5
Brendan Leipsic,3800,LW,VAN,ARI,2,2,1.7,3.5
Jussi Jokinen,3000,RW,VAN,ARI,1,0,1.63,4.5
Jordan Martinook,2900,LW,ARI,VAN,3,0,1.57,0.5
Nick Cousins,2900,RW,ARI,VAN,3,2,1.52,1.0
Brad Richardson,2900,C,ARI,VAN,3,0,1.49,1.0
Zemgus Girgensons,3900,LW,BUF,CGY,1,0,1.48,1.0
Kevin Connauton,3000,D,ARI,VAN,7,2,1.47,0.5
Brendan Perlini,4000,LW,ARI,VAN,1,2,1.43,5.5
Carl Hagelin,4600,LW,PIT,PHI,2,0,1.39,4.0
Jason Pominville,3600,RW,BUF,CGY,3,1,1.37,3.5
Nikolay Goldobin,3000,LW,VAN,ARI,3,1,1.34,0.0
Brendan Guhle,3000,D,BUF,CGY,6,2,1.2,0.0
Oskar Lindblom,3100,LW,PHI,PIT,2,2,1.09,1.0
Valtteri Filppula,3000,C,PHI,PIT,3,0,0.99,1.5
Johan Larsson,3500,C,BUF,CGY,3,0,0.99,1.0
Reid Boucher,2900,LW,VAN,ARI,3,0,0.91,0.0
Jordan Weal,2900,LW,PHI,PIT,3,2,0.84,0.5
Scott Wilson,2900,LW,BUF,CGY,3,2,0.81,3.5
Dominik Simon,3700,LW,PIT,PHI,3,0,0.64,0.0
Jacob Josefson,2800,C,BUF,CGY,2,0,0.61,1.0
Jordan Nolan,2600,LW,BUF,CGY,2,0,0.49,1.5
