playerName,sal,pos,team,opp,line,ppLine,proj,actual
Connor McDavid,7600,C,EDM,MIN,1,1,5.22,9.5
Aleksander Barkov,7400,C,FLO,NYR,1,1,5.08,0.7
Taylor Hall,6900,LW,NJD,NSH,1,1,5.03,1.7
Evgeni Malkin,7700,C,PIT,TOR,2,1,5.0,3.0
Sidney Crosby,7200,C,PIT,TOR,1,1,4.89,4.5
Ryan Suter,5400,D,MIN,EDM,5,1,4.35,3.0
Vincent Trocheck,6900,C,FLO,NYR,2,1,4.29,5.7
Eric Staal,7300,C,MIN,EDM,2,2,4.28,2.5
Mika Zibanejad,5300,C,NYR,FLO,1,1,4.26,5.5
Evgenii Dadonov,6800,LW,FLO,NYR,1,1,4.15,0.0
Kris Letang,5700,D,PIT,TOR,5,1,4.13,3.0
Jared Spurgeon,5100,D,MIN,EDM,5,1,4.07,1.5
Mikael Granlund,6700,RW,MIN,EDM,2,2,4.05,0.5
Phil Kessel,7000,RW,PIT,TOR,3,1,3.98,1.5
Keith Yandle,5600,D,FLO,NYR,5,1,3.94,3.0
Viktor Arvidsson,6600,RW,NSH,NJD,1,1,3.89,1.5
Filip Forsberg,6300,LW,NSH,NJD,1,1,3.82,2.5
Roman Josi,6000,D,NSH,NJD,6,2,3.78,5.0
Nazem Kadri,6000,C,TOR,PIT,1,1,3.75,9.0
P.K. Subban,5300,D,NSH,NJD,5,1,3.74,3.5
Jason Zucker,6200,LW,MIN,EDM,2,2,3.72,3.5
Jonathan Huberdeau,6000,LW,FLO,NYR,2,1,3.71,7.5
Mats Zuccarello,4600,RW,NYR,FLO,2,1,3.6,5.7
Zach Parise,5800,LW,MIN,EDM,1,1,3.56,2.5
Leon Draisaitl,6400,RW,EDM,MIN,2,1,3.56,3.5
Ryan Ellis,5800,D,NSH,NJD,6,2,3.55,5.0
Aaron Ekblad,5200,D,FLO,NYR,5,2,3.5,1.5
Mitchell Marner,6500,RW,TOR,PIT,2,1,3.46,6.5
Patric Hornqvist,6100,RW,PIT,TOR,2,1,3.44,5.5
Mikko Koivu,5000,C,MIN,EDM,1,1,3.43,0.5
Sami Vatanen,4400,D,NJD,NSH,5,1,3.4,5.5
Kyle Palmieri,5200,RW,NJD,NSH,2,1,3.38,2.0
Chris Kreider,4700,LW,NYR,FLO,1,1,3.22,3.0
Morgan Rielly,5000,D,TOR,PIT,5,1,3.19,9.5
Matt Dumba,4900,D,MIN,EDM,6,2,3.16,2.5
Ryan Johansen,5500,C,NSH,NJD,1,1,3.1,3.5
Kevin Hayes,4300,C,NYR,FLO,2,2,3.08,5.5
James van Riemsdyk,5300,LW,TOR,PIT,3,1,2.91,1.0
Patrick Marleau,5100,LW,TOR,PIT,1,2,2.9,4.0
Nick Bjugstad,5500,RW,FLO,NYR,1,2,2.9,1.5
Jake Gardiner,4700,D,TOR,PIT,6,2,2.88,1.0
Nino Niederreiter,4300,RW,MIN,EDM,1,1,2.88,1.5
Vladislav Namestnikov,4400,C,NYR,FLO,3,2,2.86,1.5
Jake Guentzel,5700,LW,PIT,TOR,1,2,2.82,4.0
William Nylander,5100,C,TOR,PIT,2,2,2.71,1.5
Nico Hischier,4600,C,NJD,NSH,1,1,2.7,1.5
Pavel Buchnevich,4200,RW,NYR,FLO,3,1,2.7,1.0
Ryan Spooner,4800,LW,NYR,FLO,2,2,2.63,5.0
Craig Smith,5400,RW,NSH,NJD,2,2,2.6,0.5
Mike Matheson,4500,D,FLO,NYR,6,2,2.48,3.5
Kyle Turris,4900,C,NSH,NJD,2,0,2.42,1.7
Ryan Nugent-Hopkins,4700,C,EDM,MIN,1,2,2.35,7.5
Kevin Fiala,5000,LW,NSH,NJD,2,0,2.34,2.5
Patrick Maroon,3800,LW,NJD,NSH,3,1,2.26,2.5
Milan Lucic,4900,LW,EDM,MIN,2,1,2.22,1.5
Derick Brassard,4800,C,PIT,TOR,3,2,2.17,1.5
Jonas Brodin,3100,D,MIN,EDM,6,2,2.09,0.5
Olli Maatta,4100,D,PIT,TOR,7,2,2.07,2.5
Tony DeAngelo,3400,D,NYR,FLO,6,2,2.06,2.0
Justin Schultz,4300,D,PIT,TOR,6,2,2.0,3.5
Tyler Bozak,4100,C,TOR,PIT,3,1,1.99,2.5
Damon Severson,3100,D,NJD,NSH,6,2,1.97,2.5
Zach Hyman,3900,LW,TOR,PIT,2,0,1.9,1.0
Carl Hagelin,4400,LW,PIT,TOR,2,0,1.87,2.5
Michael Grabner,3500,LW,NJD,NSH,2,0,1.83,1.0
Jesper Fast,3000,RW,NYR,FLO,1,0,1.79,2.0
Nick Bonino,3400,C,NSH,NJD,3,1,1.7,1.0
Conor Sheary,4000,RW,PIT,TOR,1,2,1.69,1.5
Jimmy Vesey,3100,LW,NYR,FLO,3,2,1.64,1.5
Ryan Strome,3700,C,EDM,MIN,3,1,1.63,1.5
Jesper Bratt,3400,RW,NJD,NSH,1,2,1.6,0.5
Will Butcher,3000,D,NJD,NSH,7,2,1.6,2.5
Matt Benning,2900,D,EDM,MIN,7,2,1.53,1.5
Stefan Noesen,3000,RW,NJD,NSH,3,0,1.38,2.0
Blake Coleman,2900,C,NJD,NSH,3,0,1.38,1.5
Jesse Puljujarvi,3300,LW,EDM,MIN,3,2,1.37,0.5
Leo Komarov,3100,RW,TOR,PIT,1,0,1.34,2.5
Anton Slepyshev,2900,RW,EDM,MIN,3,2,1.34,1.0
Andrej Sekera,3000,D,EDM,MIN,7,1,1.32,3.0
Ryan Hartman,3600,LW,NSH,NJD,3,2,1.26,0.5
Jared McCann,3100,C,FLO,NYR,3,0,1.24,2.5
Brian Gibbons,2900,RW,NJD,NSH,2,0,1.23,1.0
Connor Brown,3200,RW,TOR,PIT,3,2,1.13,1.0
Riley Sheahan,2900,C,PIT,TOR,3,0,1.13,1.0
Pontus Aberg,3000,RW,EDM,MIN,1,0,1.11,2.0
Daniel Winnik,3000,LW,MIN,EDM,3,0,0.99,0.0
Joel Eriksson Ek,3000,C,MIN,EDM,3,0,0.97,0.5
Jamie McGinn,3100,LW,FLO,NYR,3,2,0.97,4.5
Scott Hartnell,3000,LW,NSH,NJD,3,0,0.9,0.5
Marcus Foligno,2900,RW,MIN,EDM,3,0,0.79,0.0
