playerName,sal,pos,team,opp,line,ppLine,proj,actual
Anze Kopitar,6900,C,LAK,CHI,1,1,5.14,4.0
Nikita Kucherov,7800,RW,TBL,PHI,1,1,5.13,7.0
Sidney Crosby,7200,C,PIT,NYI,1,1,5.12,7.0
Evgeni Malkin,7700,C,PIT,NYI,2,1,5.1,5.5
Tyler Seguin,7400,C,DAL,STL,1,1,5.05,6.0
Brad Marchand,7200,LW,BOS,MTL,1,1,4.95,4.0
Patrick Kane,6400,RW,CHI,LAK,1,1,4.6,8.0
Vladimir Tarasenko,7000,RW,STL,DAL,1,1,4.55,4.0
Victor Hedman,6100,D,TBL,PHI,5,1,4.54,12.5
Steven Stamkos,7300,C,TBL,PHI,1,1,4.51,16.2
Claude Giroux,6600,LW,PHI,TBL,1,1,4.43,7.0
Drew Doughty,5300,D,LAK,CHI,5,1,4.39,2.5
John Tavares,7100,C,NYI,PIT,1,1,4.38,3.0
Kris Letang,6000,D,PIT,NYI,5,1,4.34,4.0
David Pastrnak,6700,RW,BOS,MTL,1,1,4.32,2.5
Jamie Benn,6500,LW,DAL,STL,1,1,4.26,9.0
Sean Couturier,6600,C,PHI,TBL,1,1,4.24,3.0
Phil Kessel,7100,RW,PIT,NYI,3,1,4.04,5.5
Alex Pietrangelo,5400,D,STL,DAL,5,2,4.04,4.0
John Klingberg,5500,D,DAL,STL,5,1,3.93,2.0
Rick Nash,6200,RW,BOS,MTL,2,1,3.89,4.0
Jakub Voracek,5900,RW,PHI,TBL,2,1,3.81,7.0
Alexander Radulov,6100,RW,DAL,STL,2,1,3.77,5.5
Jeff Carter,6000,C,LAK,CHI,2,1,3.74,1.0
Shayne Gostisbehere,5600,D,PHI,TBL,5,1,3.73,4.5
Jonathan Toews,5300,C,CHI,LAK,1,2,3.72,9.0
Dustin Brown,5400,RW,LAK,CHI,1,1,3.69,5.0
Torey Krug,5200,D,BOS,MTL,6,1,3.67,10.0
Patric Hornqvist,6300,RW,PIT,NYI,1,1,3.64,5.5
Josh Bailey,5800,RW,NYI,PIT,1,1,3.53,2.5
Anders Lee,5500,LW,NYI,PIT,1,1,3.51,6.0
Mathew Barzal,6400,C,NYI,PIT,2,1,3.46,0.5
Jaden Schwartz,5400,LW,STL,DAL,2,1,3.42,5.0
Brayden Schenn,5700,C,STL,DAL,2,1,3.41,1.5
Tyler Toffoli,5700,RW,LAK,CHI,2,2,3.39,1.0
Brayden Point,6200,C,TBL,PHI,2,0,3.36,4.2
Duncan Keith,4500,D,CHI,LAK,5,2,3.26,0.0
Nick Leddy,4700,D,NYI,PIT,5,1,3.17,2.0
Jake Guentzel,5300,LW,PIT,NYI,1,2,3.13,1.0
Charlie McAvoy,4900,D,BOS,MTL,5,2,3.12,0.0
Jake Muzzin,4300,D,LAK,CHI,7,1,3.11,1.0
Jeff Petry,5100,D,MTL,BOS,5,1,3.07,0.5
Alexander Steen,5100,LW,STL,DAL,1,1,3.06,2.0
Dion Phaneuf,4500,D,LAK,CHI,6,2,3.0,2.0
Brendan Gallagher,5600,RW,MTL,BOS,2,1,2.99,4.5
Ivan Provorov,5000,D,PHI,TBL,5,2,2.92,11.0
Brent Seabrook,3700,D,CHI,LAK,6,1,2.91,3.0
Colton Parayko,4600,D,STL,DAL,6,2,2.9,5.0
Brandon Saad,4500,LW,CHI,LAK,1,2,2.84,4.0
David Krejci,5500,C,BOS,MTL,2,2,2.77,1.0
David Backes,4800,C,BOS,MTL,3,1,2.71,2.5
Travis Konecny,5200,RW,PHI,TBL,1,2,2.7,2.0
Alec Martinez,3900,D,LAK,CHI,6,2,2.65,5.0
Tyler Johnson,4900,C,TBL,PHI,3,1,2.57,0.5
Derick Brassard,5200,C,PIT,NYI,3,2,2.55,5.0
Artem Anisimov,4100,C,CHI,LAK,2,1,2.55,3.5
Bryan Rust,4800,RW,PIT,NYI,2,0,2.53,1.0
Tanner Pearson,4600,LW,LAK,CHI,2,2,2.48,4.5
J.T. Miller,4500,RW,TBL,PHI,2,2,2.47,4.5
Jordan Eberle,5100,RW,NYI,PIT,2,0,2.44,1.0
Alex Galchenyuk,4300,LW,MTL,BOS,2,1,2.43,1.5
Jonathan Drouin,4600,C,MTL,BOS,2,1,2.41,1.0
Alex Killorn,5300,RW,TBL,PHI,1,1,2.38,2.0
Riley Nash,5100,C,BOS,MTL,1,0,2.34,0.5
Yanni Gourde,5000,LW,TBL,PHI,2,2,2.29,3.5
Alex DeBrincat,4100,LW,CHI,LAK,3,2,2.29,0.5
Nick Schmaltz,3900,C,CHI,LAK,3,1,2.27,1.0
Ryan Pulock,4600,D,NYI,PIT,7,2,2.22,1.0
Esa Lindell,3500,D,DAL,STL,5,2,2.11,0.5
Jordan Oesterle,3200,D,CHI,LAK,7,2,2.11,6.0
Stephen Johns,4000,D,DAL,STL,7,2,2.08,1.5
Phillip Danault,3800,C,MTL,BOS,1,2,2.05,0.0
Nolan Patrick,4400,C,PHI,TBL,2,1,2.03,7.0
Olli Maatta,3800,D,PIT,NYI,7,2,2.02,1.0
Alex Iafallo,3300,LW,LAK,CHI,1,0,1.98,4.0
Artturi Lehkonen,3900,RW,MTL,BOS,1,1,1.96,1.0
Mattias Janmark,3500,C,DAL,STL,2,2,1.95,1.5
Justin Schultz,4200,D,PIT,NYI,6,2,1.9,3.5
Carl Hagelin,4700,LW,PIT,NYI,2,0,1.88,1.0
Nick Holden,3000,D,BOS,MTL,7,2,1.84,5.0
Devin Shore,3200,LW,DAL,STL,2,2,1.84,2.0
Anthony Beauvillier,4900,LW,NYI,PIT,2,2,1.84,2.5
Vinnie Hinostroza,3600,RW,CHI,LAK,3,1,1.77,3.5
Jake DeBrusk,4200,LW,BOS,MTL,2,2,1.74,5.5
Jason Spezza,3300,RW,DAL,STL,1,2,1.71,0.5
Patrik Berglund,3200,LW,STL,DAL,3,0,1.7,0.5
Radek Faksa,3000,C,DAL,STL,3,0,1.64,0.5
Danton Heinen,3300,LW,BOS,MTL,3,2,1.63,0.5
Mikhail Sergachev,3600,D,TBL,PHI,6,2,1.61,2.0
Tobias Rieder,3200,LW,LAK,CHI,3,0,1.61,1.0
Vince Dunn,3200,D,STL,DAL,7,1,1.57,4.5
Vladimir Sobotka,2900,C,STL,DAL,3,2,1.53,0.5
Adrian Kempe,3100,C,LAK,CHI,3,2,1.49,0.5
Anthony Duclair,3000,RW,CHI,LAK,2,0,1.48,1.0
Brock Nelson,3200,C,NYI,PIT,3,2,1.47,0.5
Dmitrij Jaskin,2900,RW,STL,DAL,2,2,1.45,2.0
Tyler Pitlick,3000,RW,DAL,STL,3,0,1.43,4.0
Paul Byron,3400,LW,MTL,BOS,3,2,1.36,1.5
David Schlemko,2900,D,MTL,BOS,7,2,1.32,3.5
Tomas Jurco,3100,LW,CHI,LAK,2,0,1.28,0.0
Ivan Barbashev,3300,C,STL,DAL,1,0,1.26,3.5
Nikita Scherbak,3200,RW,MTL,BOS,1,2,1.17,1.5
Andrew Ladd,3000,LW,NYI,PIT,3,2,1.15,1.0
Oskar Lindblom,3100,LW,PHI,TBL,2,2,1.09,1.0
Nate Thompson,2800,RW,LAK,CHI,3,0,1.04,1.5
Antoine Roussel,2900,LW,DAL,STL,3,0,1.0,3.0
Mike Reilly,2800,D,MTL,BOS,7,2,0.94,0.5
Nicolas Deslauriers,2900,LW,MTL,BOS,3,0,0.72,0.0
Scott Laughton,3000,C,PHI,TBL,3,0,0.67,2.0
Michael Raffl,2800,RW,PHI,TBL,3,0,0.66,0.5
Tanner Fritz,3000,RW,NYI,PIT,3,2,0.62,1.0
Jacob De La Rose,2900,C,MTL,BOS,3,0,0.62,1.5
Adam Erne,3000,LW,TBL,PHI,3,0,0.6,0.5
Cory Conacher,2900,RW,TBL,PHI,3,0,0.57,0.5
Taylor Leier,2900,LW,PHI,TBL,3,2,0.56,0.5
Dominik Simon,3200,LW,PIT,NYI,3,0,0.45,3.5
