playerName,sal,pos,team,opp,line,ppLine,proj,actual
Connor McDavid,7800,C,EDM,OTT,1,1,5.5,12.5
Nikita Kucherov,8100,RW,TBL,NYI,1,1,5.48,4.5
Nathan MacKinnon,8000,C,COL,LAK,1,1,5.28,3.5
Steven Stamkos,7600,C,TBL,NYI,1,1,5.09,3.0
Alex Ovechkin,7900,LW,WSH,DET,1,1,5.04,2.0
Brent Burns,7100,D,SJS,VGK,5,1,4.82,9.5
John Tavares,6900,C,NYI,TBL,1,1,4.81,5.5
Victor Hedman,6500,D,TBL,NYI,5,1,4.77,7.5
Patrick Kane,6900,RW,CHI,VAN,1,1,4.72,2.5
Sean Couturier,6700,C,PHI,NYR,1,1,4.57,2.0
Claude Giroux,6500,LW,PHI,NYR,1,1,4.56,7.5
Aleksander Barkov,7400,C,FLO,CBJ,1,1,4.56,1.0
Alexander Edler,5100,D,VAN,CHI,5,1,4.45,8.0
Anze Kopitar,6400,C,LAK,COL,1,1,4.44,17.0
Mike Hoffman,6200,RW,OTT,EDM,1,1,4.37,1.0
Tyson Barrie,6300,D,COL,LAK,5,1,4.3,0.5
Bo Horvat,5000,C,VAN,CHI,1,1,4.25,7.0
Jakub Voracek,6300,RW,PHI,NYR,2,1,4.23,4.0
Drew Doughty,5600,D,LAK,COL,5,1,4.22,3.5
Shayne Gostisbehere,6100,D,PHI,NYR,5,1,4.21,1.5
Mikko Rantanen,7000,RW,COL,LAK,1,1,4.21,5.0
Evander Kane,6600,LW,SJS,VGK,2,1,4.09,2.0
Artemi Panarin,7200,LW,CBJ,FLO,1,1,4.08,2.5
Leon Draisaitl,5800,C,EDM,OTT,2,1,4.08,0.0
Vincent Trocheck,7100,C,FLO,CBJ,2,1,4.06,1.0
Joe Pavelski,6500,C,SJS,VGK,2,1,4.03,0.5
Mika Zibanejad,5700,C,NYR,PHI,1,1,4.01,5.5
Matt Duchene,5500,C,OTT,EDM,1,1,3.98,4.0
Filip Forsberg,6800,LW,NSH,TOR,1,1,3.9,1.5
John Carlson,6200,D,WSH,DET,6,1,3.9,3.5
Nicklas Backstrom,6300,C,WSH,DET,1,1,3.89,0.5
William Karlsson,7200,C,VGK,SJS,1,1,3.83,0.5
J.T. Miller,6400,LW,TBL,NYI,1,1,3.68,7.5
Viktor Arvidsson,7100,RW,NSH,TOR,1,1,3.67,4.5
Roman Josi,6400,D,NSH,TOR,5,2,3.67,2.5
Logan Couture,6100,C,SJS,VGK,1,1,3.67,5.0
Anders Lee,5500,LW,NYI,TBL,1,1,3.62,8.0
Jonathan Marchessault,6800,LW,VGK,SJS,1,1,3.61,5.5
Keith Yandle,5700,D,FLO,CBJ,5,1,3.6,2.5
Mathew Barzal,6000,C,NYI,TBL,2,1,3.57,3.5
Evgenii Dadonov,6700,LW,FLO,CBJ,1,1,3.54,0.0
Gabriel Landeskog,6100,LW,COL,LAK,1,1,3.52,2.5
Brayden Point,6000,C,TBL,NYI,2,2,3.51,10.5
Auston Matthews,6600,C,TOR,NSH,1,2,3.51,5.0
Dustin Brown,5300,RW,LAK,COL,1,1,3.51,6.5
Jeff Carter,5800,C,LAK,COL,2,1,3.5,3.0
Ivan Provorov,5400,D,PHI,NYR,5,2,3.45,2.5
Cam Atkinson,6400,RW,CBJ,FLO,1,1,3.45,6.0
Josh Bailey,5200,RW,NYI,TBL,1,1,3.45,5.0
Justin Faulk,5300,D,CAR,ARI,5,1,3.39,1.5
Mitchell Marner,5700,RW,TOR,NSH,2,1,3.38,7.0
Nazem Kadri,5900,C,TOR,NSH,2,1,3.37,0.5
Ryan Ellis,6000,D,NSH,TOR,5,2,3.34,1.0
P.K. Subban,5800,D,NSH,TOR,6,1,3.34,4.5
Morgan Rielly,5000,D,TOR,NSH,5,1,3.34,6.5
Sebastian Aho,6200,LW,CAR,ARI,3,1,3.34,4.5
Ryan Nugent-Hopkins,6300,LW,EDM,OTT,1,2,3.31,9.5
Oliver Ekman-Larsson,5200,D,ARI,CAR,5,1,3.3,1.5
Daniel Sedin,4300,LW,VAN,CHI,2,1,3.25,3.0
Jonathan Huberdeau,5900,LW,FLO,CBJ,2,1,3.23,2.5
Nick Leddy,4500,D,NYI,TBL,5,1,3.2,0.0
Aaron Ekblad,5000,D,FLO,CBJ,5,2,3.09,1.5
Duncan Keith,4600,D,CHI,VAN,5,2,3.09,2.0
