playerName,sal,pos,team,opp,line,ppLine,proj,actual
Brad Marchand,7100,LW,BOS,CBJ,1,1,5.54,9.0
Aleksander Barkov,7700,C,FLO,MTL,1,1,5.28,6.0
David Pastrnak,6800,RW,BOS,CBJ,1,1,5.1,3.5
Johnny Gaudreau,7200,LW,CGY,ARI,1,1,5.02,4.5
Vincent Trocheck,7500,C,FLO,MTL,2,1,4.96,1.5
Jack Eichel,7100,C,BUF,NSH,2,1,4.76,2.5
Torey Krug,5700,D,BOS,CBJ,5,1,4.62,6.5
Ryan O'Reilly,6400,C,BUF,NSH,1,1,4.54,0.5
Roman Josi,6300,D,NSH,BUF,5,2,4.52,2.5
Sean Monahan,6900,C,CGY,ARI,1,1,4.49,7.5
Eric Staal,6800,C,MIN,LAK,2,2,4.41,6.5
Filip Forsberg,6600,LW,NSH,BUF,1,1,4.4,7.5
Mark Giordano,5600,D,CGY,ARI,5,1,4.35,4.0
Anze Kopitar,6700,C,LAK,MIN,1,1,4.31,2.0
Viktor Arvidsson,6700,RW,NSH,BUF,1,1,4.28,6.5
Evgenii Dadonov,7000,LW,FLO,MTL,1,1,4.28,1.5
Ryan Suter,5100,D,MIN,LAK,5,1,4.24,3.5
Mikael Granlund,6300,RW,MIN,LAK,1,2,4.18,0.0
Dougie Hamilton,5900,D,CGY,ARI,5,1,4.11,9.0
Keith Yandle,5800,D,FLO,MTL,5,1,4.09,1.0
Brendan Gallagher,5600,RW,MTL,FLO,1,1,4.09,2.0
Jonathan Huberdeau,6400,LW,FLO,MTL,2,1,4.07,0.5
Zach Parise,5500,LW,MIN,LAK,1,1,3.94,4.5
Rasmus Ristolainen,5500,D,BUF,NSH,5,1,3.88,4.0
Ryan Ellis,6000,D,NSH,BUF,6,2,3.85,2.0
Jason Zucker,6200,LW,MIN,LAK,2,2,3.78,2.5
P.K. Subban,5400,D,NSH,BUF,7,1,3.75,1.5
Matt Dumba,5000,D,MIN,LAK,5,1,3.73,4.5
Artemi Panarin,6500,LW,CBJ,BOS,1,1,3.66,4.0
Drew Doughty,5200,D,LAK,MIN,5,1,3.64,7.0
Mikko Koivu,4900,C,MIN,LAK,1,1,3.62,2.0
Aaron Ekblad,5300,D,FLO,MTL,5,2,3.62,5.0
David Krejci,5900,C,BOS,CBJ,2,2,3.59,4.0
Sam Reinhart,5800,RW,BUF,NSH,1,1,3.53,2.0
Oliver Ekman-Larsson,4600,D,ARI,CGY,5,1,3.47,7.0
Ryan Johansen,5400,C,NSH,BUF,1,1,3.29,3.5
Mikael Backlund,5700,C,CGY,ARI,2,2,3.28,3.0
Jeff Petry,4700,D,MTL,FLO,5,1,3.27,2.0
Cam Atkinson,6100,RW,CBJ,BOS,1,1,3.2,6.0
