playerName,sal,pos,team,opp,line,ppLine,proj,actual
Connor McDavid,7600,C,EDM,CBJ,1,1,5.59,9.5
Tyler Seguin,7300,C,DAL,PHI,1,1,5.35,5.5
Taylor Hall,7400,LW,NJD,CAR,1,1,5.3,9.0
John Tavares,7200,C,NYI,OTT,1,1,5.13,3.0
Sidney Crosby,7500,C,PIT,DET,1,1,5.11,5.0
Brad Marchand,7300,LW,BOS,WPJ,1,1,4.98,5.0
Jamie Benn,6700,LW,DAL,PHI,1,1,4.96,0.0
Evgeni Malkin,7800,C,PIT,DET,2,1,4.89,3.5
Patrice Bergeron,7000,C,BOS,WPJ,1,1,4.78,1.0
Brent Burns,7000,D,SJS,STL,5,1,4.78,6.0
Blake Wheeler,6600,RW,WPJ,BOS,1,1,4.61,2.5
Artemi Panarin,6900,LW,CBJ,EDM,1,1,4.59,6.5
Alex Pietrangelo,5900,D,STL,SJS,5,1,4.49,5.0
Mark Scheifele,6400,C,WPJ,BOS,1,1,4.36,4.2
Evander Kane,6900,LW,SJS,STL,1,1,4.36,5.5
Seth Jones,6000,D,CBJ,EDM,5,1,4.31,2.0
Alexander Radulov,6200,RW,DAL,PHI,1,1,4.23,8.5
Patrik Laine,6800,RW,WPJ,BOS,2,1,4.21,2.2
David Pastrnak,6700,RW,BOS,WPJ,1,1,4.2,7.0
Vladimir Tarasenko,6800,RW,STL,SJS,1,1,4.16,8.5
Roman Josi,6200,D,NSH,MIN,5,2,4.14,5.0
Cam Atkinson,6400,RW,CBJ,EDM,1,1,4.1,6.0
Joe Pavelski,6200,C,SJS,STL,1,1,4.06,5.0
Filip Forsberg,5900,LW,NSH,MIN,1,1,4.05,1.5
Mike Hoffman,6200,RW,OTT,NYI,2,1,4.05,4.5
John Klingberg,5700,D,DAL,PHI,5,1,4.04,3.5
Kris Letang,5800,D,PIT,DET,5,1,4.02,4.5
Torey Krug,5500,D,BOS,WPJ,5,1,4.01,7.0
Patric Hornqvist,7200,RW,PIT,DET,2,1,4.0,3.0
Claude Giroux,6500,LW,PHI,DAL,1,1,4.0,4.5
Viktor Arvidsson,6500,RW,NSH,MIN,1,1,3.99,2.5
Ryan Getzlaf,6800,C,ANA,VAN,1,1,3.97,2.0
Alexander Edler,4900,D,VAN,ANA,5,1,3.96,4.0
Sean Couturier,6600,C,PHI,DAL,1,1,3.94,1.0
Anders Lee,6400,LW,NYI,OTT,1,1,3.94,3.5
Matt Duchene,5900,C,OTT,NYI,1,1,3.91,10.5
Mathew Barzal,6300,C,NYI,OTT,2,1,3.88,4.5
Dustin Byfuglien,5300,D,WPJ,BOS,5,1,3.84,5.5
Phil Kessel,7100,RW,PIT,DET,3,1,3.83,1.0
Jaden Schwartz,6300,LW,STL,SJS,1,1,3.79,1.5
Brayden Schenn,6100,C,STL,SJS,1,1,3.75,4.0
Rickard Rakell,7000,LW,ANA,VAN,1,1,3.73,0.5
Bo Horvat,5100,C,VAN,ANA,1,1,3.71,1.5
P.K. Subban,5200,D,NSH,MIN,6,1,3.67,1.5
Josh Bailey,6000,RW,NYI,OTT,1,1,3.65,2.0
Kyle Palmieri,5500,RW,NJD,CAR,2,1,3.64,11.0
Eric Staal,6500,C,MIN,NSH,1,2,3.63,5.0
Shayne Gostisbehere,6100,D,PHI,DAL,5,1,3.63,7.0
Ryan Ellis,5600,D,NSH,MIN,5,2,3.6,2.5
Jakub Voracek,6000,RW,PHI,DAL,2,1,3.6,0.5
Leon Draisaitl,5500,C,EDM,CBJ,2,1,3.57,3.0
Dylan Larkin,5400,C,DET,PIT,2,2,3.56,5.0
Logan Couture,5800,C,SJS,STL,2,1,3.52,0.5
Sami Vatanen,4800,D,NJD,CAR,5,1,3.47,4.5
Ryan Suter,4500,D,MIN,NSH,5,1,3.45,1.5
Ryan Pulock,5000,D,NYI,OTT,5,2,3.27,1.0
Mikael Granlund,5500,RW,MIN,NSH,2,1,3.25,3.5
Ryan Nugent-Hopkins,6100,LW,EDM,CBJ,1,2,3.23,8.5
Jordan Eberle,5700,RW,NYI,OTT,2,2,3.22,3.5
Henrik Zetterberg,4700,C,DET,PIT,1,1,3.16,2.0
Gustav Nyquist,4100,RW,DET,PIT,1,1,3.16,0.5
