playerName,sal,pos,team,opp,line,ppLine,proj,actual
Nathan MacKinnon,7700,C,COL,NSH,1,1,5.3,6.0
Taylor Hall,7300,LW,NJD,VGK,1,1,5.26,9.0
Claude Giroux,6800,LW,PHI,FLO,1,1,5.1,3.5
Patrick Kane,6500,RW,CHI,ANA,1,1,5.01,4.0
Sean Couturier,6800,C,PHI,FLO,1,1,4.81,2.5
Aleksander Barkov,7000,C,FLO,PHI,1,1,4.72,6.5
Ryan Getzlaf,6900,C,ANA,CHI,1,1,4.71,6.5
P.K. Subban,5700,D,NSH,COL,5,1,4.57,5.0
Jakub Voracek,6100,RW,PHI,FLO,2,1,4.35,1.0
Filip Forsberg,6000,LW,NSH,COL,1,1,4.34,3.5
Viktor Arvidsson,6200,RW,NSH,COL,1,1,4.31,4.5
Shayne Gostisbehere,5600,D,PHI,FLO,5,1,4.21,2.0
Rickard Rakell,7100,LW,ANA,CHI,1,1,4.14,4.0
Vincent Trocheck,6700,C,FLO,PHI,2,1,4.1,0.5
Jonathan Toews,5300,C,CHI,ANA,1,2,3.98,0.0
Tyson Barrie,6000,D,COL,NSH,5,1,3.97,5.0
Mikko Rantanen,6400,RW,COL,NSH,1,1,3.87,4.0
Jonathan Marchessault,7200,LW,VGK,NJD,1,1,3.85,1.5
William Karlsson,7100,C,VGK,NJD,1,1,3.85,1.0
Kyle Palmieri,5400,RW,NJD,VGK,1,1,3.69,2.5
Ryan Johansen,5500,C,NSH,COL,1,1,3.63,2.5
Evgenii Dadonov,6300,LW,FLO,PHI,1,1,3.6,7.5
Ryan Ellis,5400,D,NSH,COL,6,2,3.56,10.0
Ivan Provorov,5100,D,PHI,FLO,5,2,3.53,3.5
Reilly Smith,6700,RW,VGK,NJD,1,1,3.51,1.0
Gabriel Landeskog,5900,LW,COL,NSH,1,1,3.51,1.0
Keith Yandle,5500,D,FLO,PHI,5,1,3.49,2.0
Corey Perry,5800,RW,ANA,CHI,1,1,3.48,7.5
Cam Fowler,5200,D,ANA,CHI,5,2,3.4,6.0
Sami Vatanen,4100,D,NJD,VGK,5,1,3.37,6.0
Jonathan Huberdeau,6100,LW,FLO,PHI,2,1,3.35,4.0
Duncan Keith,4400,D,CHI,ANA,5,2,3.27,3.0
Aaron Ekblad,4900,D,FLO,PHI,5,2,3.21,4.0
Travis Konecny,5200,RW,PHI,FLO,1,2,3.2,4.5
Mattias Ekholm,4000,D,NSH,COL,6,2,3.13,4.5
Brandon Saad,4400,LW,CHI,ANA,1,2,2.95,2.0
