playerName,sal,pos,team,opp,line,ppLine,proj,actual
Evgeni Malkin,7900,C,PIT,NYR,2,1,6.09,1.0
Tyler Seguin,7500,C,DAL,TOR,1,1,5.8,10.0
Sidney Crosby,7300,C,PIT,NYR,1,1,5.72,1.5
Connor McDavid,7700,C,EDM,SJS,1,1,5.64,4.5
Brent Burns,7200,D,SJS,EDM,5,1,5.28,8.0
Taylor Hall,7100,LW,NJD,VGK,1,1,5.16,6.5
Jamie Benn,7000,LW,DAL,TOR,1,1,4.97,8.0
Kris Letang,5700,D,PIT,NYR,5,1,4.94,3.0
Ryan Getzlaf,7200,C,ANA,VAN,1,1,4.81,0.5
Phil Kessel,6900,RW,PIT,NYR,3,1,4.79,1.0
Joe Pavelski,7000,C,SJS,EDM,1,1,4.63,2.0
Patric Hornqvist,6300,RW,PIT,NYR,2,1,4.51,3.0
Evander Kane,6800,LW,SJS,EDM,1,1,4.48,3.0
Alexander Radulov,6700,RW,DAL,TOR,2,1,4.21,2.0
Rickard Rakell,7400,LW,ANA,VAN,1,1,4.2,2.5
John Klingberg,5500,D,DAL,TOR,5,1,4.2,5.5
Jonathan Marchessault,7200,LW,VGK,NJD,1,1,4.19,2.0
William Karlsson,6800,C,VGK,NJD,1,1,4.14,3.0
Logan Couture,6400,C,SJS,EDM,2,1,4.07,8.5
Mika Zibanejad,5300,C,NYR,PIT,1,1,3.93,11.0
Leon Draisaitl,6200,C,EDM,SJS,2,1,3.7,1.0
Sami Vatanen,4300,D,NJD,VGK,5,1,3.52,5.0
Alexander Edler,5300,D,VAN,ANA,5,1,3.5,2.5
Jake Guentzel,5900,LW,PIT,NYR,1,2,3.47,2.0
Kyle Palmieri,5200,RW,NJD,VGK,1,1,3.46,5.5
Cam Fowler,5100,D,ANA,VAN,5,1,3.43,4.5
Nazem Kadri,6000,C,TOR,DAL,1,1,3.27,5.0
Mats Zuccarello,5000,RW,NYR,PIT,2,1,3.19,1.5
Marc-Edouard Vlasic,4800,D,SJS,EDM,6,2,3.15,2.0
Bo Horvat,5500,C,VAN,ANA,2,1,3.14,1.5
David Perron,5600,LW,VGK,NJD,2,2,3.05,2.5
Mitchell Marner,6100,RW,TOR,DAL,2,1,3.04,4.7
Corey Perry,5700,RW,ANA,VAN,1,2,2.95,0.5
Erik Haula,5700,C,VGK,NJD,2,2,2.9,10.0
Morgan Rielly,5000,D,TOR,DAL,5,1,2.88,3.5
Tomas Hertl,4800,LW,SJS,EDM,2,1,2.86,9.0
Derick Brassard,4500,C,PIT,NYR,3,2,2.7,3.5
Chris Kreider,4400,LW,NYR,PIT,1,1,2.7,11.0
Olli Maatta,4000,D,PIT,NYR,7,2,2.66,4.5
Justin Schultz,4400,D,PIT,NYR,6,2,2.63,0.5
Ryan Nugent-Hopkins,5800,LW,EDM,SJS,1,2,2.61,5.5
Kevin Hayes,5100,C,NYR,PIT,2,2,2.61,1.5
Nico Hischier,4400,C,NJD,VGK,1,1,2.57,7.0
Oscar Klefbom,4900,D,EDM,SJS,7,1,2.53,7.0
Brandon Montour,3900,D,ANA,VAN,5,1,2.46,9.0
Joonas Donskoi,4900,RW,SJS,EDM,1,0,2.45,2.0
Vladislav Namestnikov,4200,C,NYR,PIT,3,2,2.43,0.0
Esa Lindell,3800,D,DAL,TOR,5,2,2.42,4.5
Daniel Sedin,4600,LW,VAN,ANA,1,1,2.42,2.0
Jakob Silfverberg,4600,RW,ANA,VAN,2,2,2.41,2.0
Carl Hagelin,4300,LW,PIT,NYR,2,0,2.41,4.5
Colin Miller,4200,D,VGK,NJD,6,2,2.39,7.0
