playerName,sal,pos,team,opp,line,ppLine,proj,actual
Sidney Crosby,7300,C,PIT,MTL,1,1,5.38,7.0
Evgeni Malkin,7700,C,PIT,MTL,2,1,5.34,6.0
Jack Eichel,7100,C,BUF,ARI,2,1,4.79,1.0
Ryan O'Reilly,6400,C,BUF,ARI,1,1,4.78,2.0
Brad Marchand,7300,LW,BOS,STL,1,1,4.6,1.5
Kris Letang,5900,D,PIT,MTL,5,1,4.54,0.0
Patric Hornqvist,7000,RW,PIT,MTL,2,1,4.32,6.5
Rasmus Ristolainen,5700,D,BUF,ARI,5,1,4.3,2.5
Phil Kessel,6600,RW,PIT,MTL,3,1,4.22,6.0
David Pastrnak,6800,RW,BOS,STL,1,1,4.12,1.0
Johnny Gaudreau,6700,LW,CGY,ANA,1,1,4.11,1.0
Alex Pietrangelo,6100,D,STL,BOS,5,1,3.87,2.0
Sam Reinhart,6000,RW,BUF,ARI,1,1,3.83,2.0
Sean Monahan,6700,C,CGY,ANA,1,1,3.74,0.5
Oliver Ekman-Larsson,5100,D,ARI,BUF,5,1,3.59,4.0
Mark Giordano,5300,D,CGY,ANA,5,1,3.58,3.0
Brendan Gallagher,5600,RW,MTL,PIT,1,1,3.56,4.5
Dougie Hamilton,5400,D,CGY,ANA,5,1,3.48,2.5
Ryan Getzlaf,7000,C,ANA,CGY,1,1,3.43,4.5
Derek Stepan,5600,C,ARI,BUF,1,1,3.29,7.5
Jake Guentzel,5400,LW,PIT,MTL,1,2,3.2,9.0
Rickard Rakell,7200,LW,ANA,CGY,1,1,3.14,3.5
Jaden Schwartz,6400,LW,STL,BOS,1,1,3.11,8.0
Clayton Keller,5800,RW,ARI,BUF,1,1,3.08,4.5
Brayden Schenn,6200,C,STL,BOS,1,1,3.07,5.0
Jeff Petry,4800,D,MTL,PIT,5,1,3.02,1.5
Alex Galchenyuk,5200,LW,MTL,PIT,2,1,2.9,1.0
David Krejci,6000,C,BOS,STL,2,2,2.89,1.0
Kyle Okposo,4300,RW,BUF,ARI,2,1,2.77,0.0
Jonathan Drouin,4400,C,MTL,PIT,1,1,2.73,4.0
Bryan Rust,5100,RW,PIT,MTL,1,0,2.68,3.0
Marco Scandella,3600,D,BUF,ARI,5,2,2.62,0.5
Mikael Backlund,5300,C,CGY,ANA,2,2,2.57,2.5
Olli Maatta,4100,D,PIT,MTL,7,2,2.55,2.5
Justin Schultz,4600,D,PIT,MTL,6,2,2.5,3.0
