playerName,sal,pos,team,opp,line,ppLine,proj,actual
Tyler Seguin,7100,C,DAL,BOS,1,1,5.34,7.0
Sidney Crosby,7600,C,PIT,NJD,1,1,5.15,7.5
Evgeni Malkin,7900,C,PIT,NJD,2,1,5.09,1.5
Taylor Hall,7300,LW,NJD,PIT,1,1,5.05,11.0
Jamie Benn,6600,LW,DAL,BOS,1,1,4.91,6.0
Ryan O'Reilly,6300,C,BUF,MTL,1,1,4.85,1.0
Jack Eichel,7300,C,BUF,MTL,2,1,4.82,3.0
Patrik Laine,7000,RW,WPJ,ANA,1,1,4.77,2.5
Blake Wheeler,6700,RW,WPJ,ANA,2,1,4.7,6.0
Mark Scheifele,6700,C,WPJ,ANA,2,1,4.43,8.0
Rasmus Ristolainen,5700,D,BUF,MTL,5,1,4.36,1.5
Brad Marchand,7200,LW,BOS,DAL,1,1,4.32,9.5
Alex Pietrangelo,5900,D,STL,VAN,5,1,4.32,4.0
Brendan Gallagher,6400,RW,MTL,BUF,1,1,4.32,5.0
Kris Letang,5600,D,PIT,NJD,5,1,4.14,2.5
Patric Hornqvist,7100,RW,PIT,NJD,2,1,4.11,2.5
Vladimir Tarasenko,7000,RW,STL,VAN,1,1,3.98,4.5
John Klingberg,5300,D,DAL,BOS,5,1,3.95,0.0
Sam Reinhart,6100,RW,BUF,MTL,1,1,3.94,2.5
Alexander Radulov,6200,RW,DAL,BOS,2,1,3.93,3.0
Dustin Byfuglien,5400,D,WPJ,ANA,5,1,3.92,1.0
Phil Kessel,6900,RW,PIT,NJD,3,1,3.9,4.5
Alexander Edler,5100,D,VAN,STL,5,1,3.87,4.0
Jaden Schwartz,6600,LW,STL,VAN,1,1,3.81,2.5
David Pastrnak,6500,RW,BOS,DAL,1,1,3.77,7.5
Brayden Schenn,6500,C,STL,VAN,1,1,3.74,2.0
Bo Horvat,5300,C,VAN,STL,1,1,3.66,1.5
Rickard Rakell,6800,LW,ANA,WPJ,1,1,3.57,0.0
Jeff Petry,4600,D,MTL,BUF,5,1,3.53,1.0
Kyle Palmieri,5500,RW,NJD,PIT,2,1,3.52,2.0
Nikolaj Ehlers,6300,LW,WPJ,ANA,1,2,3.49,4.0
Sami Vatanen,5000,D,NJD,PIT,5,1,3.44,1.5
Jonathan Drouin,4900,C,MTL,BUF,1,1,3.44,2.5
Alex Galchenyuk,5200,LW,MTL,BUF,2,1,3.43,3.0
Paul Stastny,6100,C,WPJ,ANA,1,0,3.14,1.0
Kyle Connor,5400,LW,WPJ,ANA,2,1,3.04,5.5
Jake Guentzel,5900,LW,PIT,NJD,1,2,2.98,2.0
Cam Fowler,5200,D,ANA,WPJ,5,1,2.96,2.5
Colton Parayko,4900,D,STL,VAN,6,2,2.9,2.0
Artturi Lehkonen,4300,RW,MTL,BUF,2,1,2.89,4.5
Nico Hischier,4500,C,NJD,PIT,1,1,2.78,6.5
David Krejci,5900,C,BOS,DAL,2,2,2.69,5.0
Daniel Sedin,4400,LW,VAN,STL,2,1,2.67,2.0
Marco Scandella,3600,D,BUF,MTL,5,2,2.62,1.0
Tyler Myers,4100,D,WPJ,ANA,6,2,2.5,2.0
Bryan Rust,5300,RW,PIT,NJD,1,0,2.48,1.5
Alexander Steen,5100,RW,STL,VAN,2,1,2.47,2.5
Corey Perry,5800,RW,ANA,WPJ,1,2,2.38,1.0
Paul Byron,3900,LW,MTL,BUF,1,2,2.31,5.0
Riley Nash,5700,C,BOS,DAL,1,1,2.29,3.5
Jason Pominville,3300,RW,BUF,MTL,2,2,2.28,1.0
Brandon Montour,4800,D,ANA,WPJ,5,1,2.26,1.5
Jakob Silfverberg,4800,RW,ANA,WPJ,2,2,2.18,1.0
Olli Maatta,4200,D,PIT,NJD,7,2,2.18,0.0
Derick Brassard,5100,C,PIT,NJD,3,2,2.11,5.0
Damon Severson,3100,D,NJD,PIT,6,2,2.05,3.0
Carl Hagelin,5000,LW,PIT,NJD,2,0,2.04,1.5
Justin Schultz,4400,D,PIT,NJD,6,2,2.03,3.0
Mike Reilly,3200,D,MTL,BUF,5,2,2.02,1.0
Esa Lindell,3400,D,DAL,BOS,5,2,2.01,5.0
Scott Wilson,3600,LW,BUF,MTL,1,0,2.0,1.5
Sam Gagner,3400,RW,VAN,STL,2,1,1.99,4.0
Michael Del Zotto,3000,D,VAN,STL,6,2,1.97,1.5
Bryan Little,4900,RW,WPJ,ANA,3,2,1.96,1.5
Hampus Lindholm,4300,D,ANA,WPJ,6,2,1.93,3.0
Travis Zajac,3800,C,NJD,PIT,3,2,1.92,0.5
Vince Dunn,3800,D,STL,VAN,6,2,1.84,0.5
Michael Grabner,3800,LW,NJD,PIT,2,0,1.82,2.0
Henrik Sedin,3600,C,VAN,STL,2,1,1.82,2.0
Adam Henrique,4300,C,ANA,WPJ,1,1,1.81,1.5
Charles Hudon,3100,RW,MTL,BUF,3,2,1.81,3.0
Evan Rodrigues,3700,C,BUF,MTL,3,2,1.8,0.5
