playerName,sal,pos,team,opp,line,ppLine,proj,actual
Nathan MacKinnon,7900,C,COL,CHI,1,1,5.91,6.5
Nikita Kucherov,7800,RW,TBL,TOR,1,1,5.4,5.5
Connor McDavid,7600,C,EDM,CAR,1,1,5.25,2.5
Aleksander Barkov,7700,C,FLO,OTT,1,1,5.21,5.0
Evgeni Malkin,7800,C,PIT,NYI,2,1,5.17,1.0
Sidney Crosby,7400,C,PIT,NYI,1,1,5.02,2.5
Steven Stamkos,7200,C,TBL,TOR,1,1,5.01,3.0
Brent Burns,7000,D,SJS,NJD,5,1,5.01,6.5
John Tavares,7000,C,NYI,PIT,1,1,4.92,5.5
Patrick Kane,6500,RW,CHI,COL,1,1,4.92,5.5
Alex Ovechkin,7700,LW,WSH,DAL,1,1,4.88,10.0
Tyler Seguin,7500,C,DAL,WSH,1,1,4.87,6.5
Taylor Hall,7100,LW,NJD,SJS,1,1,4.85,5.0
Mikko Rantanen,6600,RW,COL,CHI,1,1,4.84,6.5
Tyson Barrie,6300,D,COL,CHI,5,1,4.8,8.5
Patrik Laine,7300,RW,WPJ,LAK,1,1,4.77,1.5
Vincent Trocheck,7300,C,FLO,OTT,2,1,4.77,1.5
Victor Hedman,6200,D,TBL,TOR,5,1,4.75,4.5
Blake Wheeler,6800,RW,WPJ,LAK,2,1,4.61,4.0
Anze Kopitar,6400,C,LAK,WPJ,1,1,4.46,3.5
Evander Kane,6800,LW,SJS,NJD,2,1,4.4,3.0
Mark Scheifele,6700,C,WPJ,LAK,2,1,4.38,2.5
Jamie Benn,6600,LW,DAL,WSH,1,1,4.35,8.0
William Karlsson,7100,C,VGK,VAN,1,1,4.29,3.0
Joe Pavelski,6800,C,SJS,NJD,2,1,4.25,4.5
Artemi Panarin,6500,LW,CBJ,NYR,1,1,4.24,15.0
Gabriel Landeskog,6000,LW,COL,CHI,1,1,4.23,3.0
Kris Letang,6000,D,PIT,NYI,5,1,4.22,2.5
Evgenii Dadonov,7000,LW,FLO,OTT,1,1,4.21,5.5
Mike Hoffman,6200,RW,OTT,FLO,1,1,4.2,0.5
Claude Giroux,6300,LW,PHI,DET,1,1,4.13,7.5
Patric Hornqvist,7200,RW,PIT,NYI,2,1,4.11,2.0
Keith Yandle,5600,D,FLO,OTT,5,1,4.11,7.0
Jonathan Marchessault,6900,LW,VGK,VAN,1,1,4.1,5.0
Sean Couturier,6500,C,PHI,DET,1,1,4.08,6.5
Sebastian Aho,5700,C,CAR,EDM,1,1,4.06,6.0
Drew Doughty,5100,D,LAK,WPJ,5,1,4.05,0.0
Jonathan Toews,5300,C,CHI,COL,1,1,4.05,3.5
Logan Couture,6600,C,SJS,NJD,1,1,4.02,5.0
Jakub Voracek,6300,RW,PHI,DET,2,1,4.02,3.0
Phil Kessel,6700,RW,PIT,NYI,3,1,4.0,3.5
Alexander Edler,5000,D,VAN,VGK,5,1,3.98,3.5
Jonathan Huberdeau,6100,LW,FLO,OTT,2,1,3.94,3.5
Mika Zibanejad,5500,C,NYR,CBJ,1,1,3.94,6.0
Dustin Byfuglien,5300,D,WPJ,LAK,5,1,3.93,1.5
Cam Atkinson,6100,RW,CBJ,NYR,1,1,3.86,4.5
Nicklas Backstrom,6100,C,WSH,DAL,1,1,3.8,1.5
Matt Duchene,5200,C,OTT,FLO,1,1,3.77,3.0
John Carlson,5900,D,WSH,DAL,6,1,3.76,8.5
Anders Lee,5600,LW,NYI,PIT,1,1,3.74,4.5
Aaron Ekblad,5400,D,FLO,OTT,5,2,3.73,1.5
