playerName,sal,pos,team,opp,line,ppLine,proj,actual
Sidney Crosby,7400,C,PIT,NJD,1,1,5.44,5.0
Connor McDavid,8100,C,EDM,VAN,1,1,5.39,5.0
Aleksander Barkov,7600,C,FLO,OTT,1,1,5.29,4.0
Evgeni Malkin,7700,C,PIT,NJD,2,1,5.22,1.5
Brad Marchand,7300,LW,BOS,TBL,1,1,5.19,6.5
Blake Wheeler,7200,RW,WPJ,CHI,1,1,5.11,0.5
Taylor Hall,7500,LW,NJD,PIT,1,1,5.03,6.5
Erik Karlsson,6200,D,OTT,FLO,5,1,5.02,3.5
Tyler Seguin,7200,C,DAL,MIN,1,1,4.99,6.5
Patrice Bergeron,6900,C,BOS,TBL,1,1,4.98,8.0
Mark Scheifele,7200,C,WPJ,CHI,1,1,4.96,5.5
Vincent Trocheck,7100,C,FLO,OTT,2,1,4.92,1.5
Anze Kopitar,7300,C,LAK,ARI,1,1,4.7,5.0
Patrik Laine,7400,RW,WPJ,CHI,2,1,4.66,1.5
David Pastrnak,6600,RW,BOS,TBL,1,1,4.59,7.5
Nikita Kucherov,7800,RW,TBL,BOS,1,1,4.55,2.5
Brent Burns,7000,D,SJS,NSH,5,1,4.53,5.5
Dustin Byfuglien,5700,D,WPJ,CHI,5,1,4.52,5.5
Jack Eichel,7000,C,BUF,DET,1,1,4.49,6.0
Jamie Benn,6600,LW,DAL,MIN,1,1,4.43,4.5
Keith Yandle,5800,D,FLO,OTT,5,1,4.42,3.5
Phil Kessel,6800,RW,PIT,NJD,2,1,4.35,2.0
Torey Krug,5500,D,BOS,TBL,5,1,4.31,6.5
Mark Giordano,4800,D,CGY,CBJ,5,1,4.29,4.5
Patrick Kane,6400,RW,CHI,WPJ,1,1,4.29,7.0
Evgenii Dadonov,6900,LW,FLO,OTT,1,1,4.26,4.0
Dougie Hamilton,5000,D,CGY,CBJ,5,1,4.22,1.5
Jonathan Huberdeau,6100,LW,FLO,OTT,2,1,4.17,1.0
Alexander Edler,5000,D,VAN,EDM,5,1,4.17,2.5
Roman Josi,6000,D,NSH,SJS,5,2,4.09,3.0
Evander Kane,6700,RW,SJS,NSH,1,1,4.09,3.5
Kris Letang,5600,D,PIT,NJD,5,2,4.07,8.0
Viktor Arvidsson,6300,RW,NSH,SJS,1,1,4.06,6.5
Filip Forsberg,5800,LW,NSH,SJS,1,1,4.02,8.0
Eric Staal,6600,C,MIN,DAL,1,1,4.02,2.5
Steven Stamkos,6800,C,TBL,BOS,1,1,4.0,0.5
Patric Hornqvist,7000,RW,PIT,NJD,3,1,4.0,7.0
Artemi Panarin,7100,LW,CBJ,CGY,1,1,4.0,4.5
Alexander Radulov,6100,RW,DAL,MIN,1,1,3.96,2.0
Drew Doughty,5900,D,LAK,ARI,5,1,3.9,6.5
Matt Duchene,6300,C,OTT,FLO,1,1,3.87,1.5
Bo Horvat,4800,C,VAN,EDM,1,1,3.86,1.0
Mike Hoffman,6200,LW,OTT,FLO,2,1,3.86,2.5
Joe Pavelski,6000,C,SJS,NSH,1,1,3.78,2.0
Victor Hedman,6100,D,TBL,BOS,5,1,3.77,6.0
Ryan O'Reilly,5300,C,BUF,DET,2,1,3.76,4.5
P.K. Subban,5200,D,NSH,SJS,6,1,3.71,6.0
Kyle Palmieri,5700,RW,NJD,PIT,1,1,3.69,4.5
John Klingberg,5400,D,DAL,MIN,5,1,3.68,1.5
Aaron Ekblad,5100,D,FLO,OTT,5,2,3.64,4.0
Rasmus Ristolainen,5100,D,BUF,DET,5,1,3.64,4.0
Seth Jones,6300,D,CBJ,CGY,5,1,3.6,3.5
Cam Atkinson,6500,RW,CBJ,CGY,1,1,3.54,6.0
Kyle Connor,6000,LW,WPJ,CHI,1,2,3.52,3.0
Jeff Carter,6200,C,LAK,ARI,2,1,3.52,13.0
Dustin Brown,5900,RW,LAK,ARI,1,1,3.5,2.5
Paul Stastny,5900,C,WPJ,CHI,2,1,3.46,0.5
Ryan Nugent-Hopkins,6400,LW,EDM,VAN,1,1,3.46,0.5
Nikolaj Ehlers,5600,LW,WPJ,CHI,2,2,3.44,0.5
Ryan Suter,4700,D,MIN,DAL,5,1,3.43,6.0
Mikael Backlund,4500,C,CGY,CBJ,1,1,3.43,0.5
Jason Zucker,5700,LW,MIN,DAL,1,1,3.34,8.0
Nick Bjugstad,6200,RW,FLO,OTT,1,2,3.28,0.5
Sami Vatanen,4800,D,NJD,PIT,5,1,3.27,1.0
Jake Guentzel,5900,LW,PIT,NJD,1,2,3.24,1.0
David Krejci,5400,C,BOS,TBL,2,2,3.2,1.0
Mikael Granlund,5400,RW,MIN,DAL,1,2,3.19,9.0
Ryan Johansen,4900,C,NSH,SJS,1,1,3.18,2.0
Oliver Ekman-Larsson,4300,D,ARI,LAK,5,1,3.18,1.5
Clayton Keller,5300,RW,ARI,LAK,1,1,3.17,0.5
Logan Couture,5600,C,SJS,NSH,2,1,3.12,5.5
Matt Dumba,4900,D,MIN,DAL,5,1,3.09,11.5
Leon Draisaitl,5500,C,EDM,VAN,2,2,3.04,2.0
Mike Matheson,4400,D,FLO,OTT,6,2,3.03,1.5
Dylan Larkin,5800,C,DET,BUF,2,2,2.96,7.0
Derek Stepan,4700,C,ARI,LAK,1,1,2.94,2.0
Justin Schultz,4400,D,PIT,NJD,6,1,2.89,1.5
Duncan Keith,4200,D,CHI,WPJ,5,2,2.83,1.5
Sam Reinhart,5600,RW,BUF,DET,3,1,2.82,2.0
J.T. Miller,6300,LW,TBL,BOS,1,1,2.81,4.0
