playerName,sal,pos,team,opp,line,ppLine,proj,actual
Connor McDavid,8000,C,EDM,FLO,1,1,5.45,7.5
Patrick Kane,7000,RW,CHI,BUF,1,1,5.26,5.0
Aleksander Barkov,7300,C,FLO,EDM,1,1,5.0,4.0
Vincent Trocheck,7100,C,FLO,EDM,2,1,4.68,6.0
Ryan O'Reilly,6600,C,BUF,CHI,1,1,4.45,8.5
Jonathan Toews,5700,C,CHI,BUF,1,1,4.35,7.5
Evgenii Dadonov,6800,LW,FLO,EDM,1,1,4.21,2.5
Keith Yandle,5700,D,FLO,EDM,5,1,4.1,1.0
Jack Eichel,7200,C,BUF,CHI,2,1,4.06,4.5
Rasmus Ristolainen,5500,D,BUF,CHI,5,1,4.0,4.0
Jonathan Huberdeau,6500,LW,FLO,EDM,2,1,3.89,0.5
Sam Reinhart,5800,RW,BUF,CHI,1,1,3.59,8.0
Aaron Ekblad,5300,D,FLO,EDM,5,2,3.52,4.0
Duncan Keith,4200,D,CHI,BUF,5,2,3.4,3.0
Leon Draisaitl,6000,C,EDM,FLO,3,1,3.38,4.0
Brandon Saad,4800,LW,CHI,BUF,1,1,3.36,3.5
Oscar Klefbom,5100,D,EDM,FLO,6,1,3.26,2.0
Nick Bjugstad,5400,RW,FLO,EDM,1,2,3.04,2.0
Brent Seabrook,3600,D,CHI,BUF,6,1,2.89,2.5
Ryan Nugent-Hopkins,6200,LW,EDM,FLO,1,2,2.76,9.0
Artem Anisimov,3200,C,CHI,BUF,3,1,2.64,2.0
Mike Matheson,4700,D,FLO,EDM,6,2,2.57,4.0
Nick Schmaltz,3700,C,CHI,BUF,2,2,2.51,0.5
Marco Scandella,3300,D,BUF,CHI,5,2,2.42,5.0
Milan Lucic,4200,LW,EDM,FLO,2,1,2.19,0.0
Alex DeBrincat,3900,LW,CHI,BUF,3,2,2.17,3.5
Jason Pominville,3400,RW,BUF,CHI,2,1,2.04,2.0
Vinnie Hinostroza,3200,RW,CHI,BUF,2,0,2.01,0.0
Zemgus Girgensons,3000,LW,BUF,CHI,2,0,1.84,0.0
Evan Rodrigues,3500,C,BUF,CHI,3,2,1.81,0.5
Matthew Highmore,2900,RW,CHI,BUF,2,0,1.76,1.5
Ryan Strome,3300,C,EDM,FLO,2,1,1.58,1.5
Scott Wilson,3500,LW,BUF,CHI,1,2,1.58,2.0
Tomas Jurco,2900,LW,CHI,BUF,3,2,1.54,3.5
Denis Malgin,3200,RW,FLO,EDM,3,2,1.49,3.0
Brendan Guhle,2800,D,BUF,CHI,6,2,1.42,0.0
Frank Vatrano,4000,RW,FLO,EDM,2,0,1.3,4.5
Jesse Puljujarvi,3200,RW,EDM,FLO,2,2,1.29,0.5
Jared McCann,3000,C,FLO,EDM,3,0,1.27,0.0
Jamie McGinn,2900,LW,FLO,EDM,3,2,1.13,0.0
Andrej Sekera,2800,D,EDM,FLO,7,2,1.12,0.5
Benoit Pouliot,3000,LW,BUF,CHI,3,0,0.98,3.5
Anton Slepyshev,2900,RW,EDM,FLO,3,0,0.74,1.5
Drake Caggiula,3000,LW,EDM,FLO,3,0,0.71,1.5
Nicholas Baptiste,2800,RW,BUF,CHI,3,0,0.6,7.0
