playerName,sal,pos,team,opp,line,ppLine,proj,actual
Tyler Seguin,7300,C,DAL,PIT,1,1,5.36,3.0
Evgeni Malkin,7500,C,PIT,DAL,2,1,5.08,7.5
Johnny Gaudreau,7100,LW,CGY,NYI,1,1,4.78,6.5
Sidney Crosby,7100,C,PIT,DAL,1,1,4.73,5.0
Mark Giordano,5500,D,CGY,NYI,5,1,4.66,6.5
John Tavares,7200,C,NYI,CGY,1,1,4.52,5.5
Jamie Benn,6700,LW,DAL,PIT,2,1,4.43,2.5
Sean Monahan,6800,C,CGY,NYI,1,1,4.42,6.0
Dougie Hamilton,5400,D,CGY,NYI,5,1,4.32,4.5
Kris Letang,5200,D,PIT,DAL,5,1,4.07,2.0
Matthew Tkachuk,6200,LW,CGY,NYI,2,1,3.91,1.0
Phil Kessel,6900,RW,PIT,DAL,3,1,3.9,2.5
Alexander Radulov,6500,RW,DAL,PIT,1,1,3.87,5.0
John Klingberg,5600,D,DAL,PIT,5,1,3.75,2.0
Oliver Ekman-Larsson,5000,D,ARI,VAN,5,1,3.66,5.0
Josh Bailey,5900,RW,NYI,CGY,1,1,3.48,1.0
Anders Lee,5800,LW,NYI,CGY,1,1,3.47,8.5
Mathew Barzal,6300,C,NYI,CGY,2,1,3.38,2.0
Patric Hornqvist,5700,RW,PIT,DAL,2,1,3.37,7.0
Mikael Backlund,6000,C,CGY,NYI,2,2,3.34,2.0
Alexander Edler,5300,D,VAN,ARI,5,1,3.3,4.5
Nick Leddy,4900,D,NYI,CGY,5,1,3.14,6.5
Bo Horvat,5600,C,VAN,ARI,2,1,3.12,3.5
Clayton Keller,6000,RW,ARI,VAN,1,1,2.95,4.5
Derek Stepan,5800,C,ARI,VAN,1,2,2.92,2.5
T.J. Brodie,4400,D,CGY,NYI,6,2,2.73,2.5
Jordan Eberle,5200,RW,NYI,CGY,2,0,2.71,5.0
Jake Guentzel,5500,LW,PIT,DAL,1,2,2.56,1.0
Michael Frolik,4700,RW,CGY,NYI,2,0,2.56,2.5
Daniel Sedin,5000,LW,VAN,ARI,1,1,2.24,1.0
Micheal Ferland,4900,RW,CGY,NYI,1,0,2.19,2.0
Ryan Pulock,4700,D,NYI,CGY,7,2,2.19,0.5
Travis Hamonic,3300,D,CGY,NYI,6,2,2.18,3.0
Alex Goligoski,4500,D,ARI,VAN,7,2,1.96,1.0
Derick Brassard,4500,RW,PIT,DAL,3,2,1.89,1.0
Olli Maatta,3900,D,PIT,DAL,7,2,1.88,1.5
Esa Lindell,3500,D,DAL,PIT,5,2,1.88,1.0
Justin Schultz,4200,D,PIT,DAL,6,2,1.86,1.0
Christian Dvorak,4700,C,ARI,VAN,3,2,1.86,0.5
Dan Hamhuis,2900,D,DAL,PIT,6,2,1.76,0.0
Max Domi,4400,LW,ARI,VAN,3,1,1.75,0.5
Jakob Chychrun,3600,D,ARI,VAN,7,1,1.73,1.5
Richard Panik,3100,LW,ARI,VAN,1,0,1.7,2.0
Jordan Martinook,2900,LW,ARI,VAN,2,0,1.63,1.0
Brad Richardson,2900,C,ARI,VAN,2,0,1.62,0.0
Sam Bennett,3400,LW,CGY,NYI,3,2,1.6,1.5
Anthony Beauvillier,4600,LW,NYI,CGY,3,2,1.57,1.0
Nick Cousins,2900,RW,ARI,VAN,2,0,1.57,2.0
Carl Hagelin,4100,LW,PIT,DAL,2,0,1.56,0.5
Derrick Pouliot,3100,D,VAN,ARI,7,2,1.36,2.0
Michael Del Zotto,3800,D,VAN,ARI,6,2,1.35,1.0
Mattias Janmark,4000,LW,DAL,PIT,1,2,1.34,0.0
Conor Sheary,4800,RW,PIT,DAL,1,2,1.32,1.0
Henrik Sedin,4000,C,VAN,ARI,1,1,1.27,1.5
Sam Gagner,3600,RW,VAN,ARI,3,1,1.24,1.0
Brock Nelson,3300,C,NYI,CGY,3,2,1.23,1.0
Kevin Connauton,3000,D,ARI,VAN,6,2,1.17,3.0
Andrew Ladd,2900,LW,NYI,CGY,2,2,1.1,1.5
Radek Faksa,3600,C,DAL,PIT,2,0,1.08,0.0
Brendan Leipsic,4300,LW,VAN,ARI,2,2,1.08,1.0
Brandon Sutter,3000,C,VAN,ARI,3,0,1.06,2.0
Mark Jankowski,3400,C,CGY,NYI,3,0,1.05,0.0
Brendan Perlini,4200,LW,ARI,VAN,3,2,1.04,0.5
Riley Sheahan,3200,LW,PIT,DAL,3,0,0.9,3.0
Jason Spezza,3200,C,DAL,PIT,3,2,0.88,2.0
Tyler Pitlick,3200,RW,DAL,PIT,2,0,0.85,1.0
Nikolay Goldobin,2900,RW,VAN,ARI,2,2,0.77,0.5
Jussi Jokinen,3800,RW,VAN,ARI,1,0,0.76,0.5
Garnet Hathaway,2900,RW,CGY,NYI,3,0,0.74,1.5
Darren Archibald,3000,LW,VAN,ARI,3,0,0.7,1.0
Tanner Fritz,2800,RW,NYI,CGY,3,2,0.62,2.0
Brett Ritchie,3300,RW,DAL,PIT,3,2,0.52,0.5
Antoine Roussel,2900,LW,DAL,PIT,3,0,0.41,0.5
