playerName,sal,pos,team,opp,line,ppLine,proj,actual
Tyler Seguin,7500,C,DAL,VAN,1,1,5.84,2.0
Jamie Benn,6800,LW,DAL,VAN,1,1,5.36,1.0
Connor McDavid,7800,C,EDM,ANA,1,1,5.29,9.5
Brad Marchand,7300,LW,BOS,MIN,1,1,5.0,6.0
Patrik Laine,6900,RW,WPJ,NSH,1,1,4.76,1.0
Blake Wheeler,6500,RW,WPJ,NSH,2,1,4.63,6.5
Ryan Getzlaf,7000,C,ANA,EDM,1,0,4.58,2.0
Alexander Radulov,5900,RW,DAL,VAN,1,1,4.41,2.5
Mark Scheifele,6600,C,WPJ,NSH,2,1,4.39,2.2
Rickard Rakell,7000,LW,ANA,EDM,1,1,4.35,6.5
David Pastrnak,6700,RW,BOS,MIN,1,1,4.27,5.5
Patrice Bergeron,7200,C,BOS,MIN,1,1,4.25,5.0
John Klingberg,5800,D,DAL,VAN,5,1,4.24,1.0
Torey Krug,5400,D,BOS,MIN,5,1,4.06,3.0
Roman Josi,5900,D,NSH,WPJ,5,2,3.95,5.0
Filip Forsberg,6000,LW,NSH,WPJ,1,1,3.9,3.0
Dustin Byfuglien,5300,D,WPJ,NSH,5,1,3.85,6.0
Viktor Arvidsson,6300,RW,NSH,WPJ,1,1,3.73,7.0
Alexander Edler,5000,D,VAN,DAL,5,1,3.71,3.5
Cam Fowler,5100,D,ANA,EDM,5,1,3.7,6.0
Ryan Suter,4600,D,MIN,BOS,5,1,3.69,2.5
Eric Staal,6800,C,MIN,BOS,2,2,3.58,2.5
Bo Horvat,5400,C,VAN,DAL,1,1,3.55,1.5
P.K. Subban,5200,D,NSH,WPJ,6,1,3.47,4.0
Ryan Ellis,5500,D,NSH,WPJ,5,2,3.44,7.0
Nikolaj Ehlers,6100,LW,WPJ,NSH,1,2,3.41,0.5
Corey Perry,5600,RW,ANA,EDM,1,1,3.36,7.0
Mikael Granlund,5700,RW,MIN,BOS,1,2,3.31,2.0
Matt Dumba,4900,D,MIN,BOS,5,1,3.27,3.0
Zach Parise,5200,LW,MIN,BOS,1,1,3.25,3.5
Leon Draisaitl,5600,C,EDM,ANA,2,1,3.25,5.5
David Krejci,5800,C,BOS,MIN,2,2,3.14,1.5
Jakob Silfverberg,4800,RW,ANA,EDM,2,2,3.07,1.0
Paul Stastny,6000,C,WPJ,NSH,1,0,3.06,1.0
Kyle Connor,5500,LW,WPJ,NSH,2,1,3.06,11.5
Jason Zucker,6200,LW,MIN,BOS,2,2,3.0,1.0
Ryan Nugent-Hopkins,6400,LW,EDM,ANA,1,2,3.0,2.5
Brandon Montour,4400,D,ANA,EDM,5,1,2.99,3.5
Ryan Johansen,5100,C,NSH,WPJ,1,1,2.88,4.5
Hampus Lindholm,4300,D,ANA,EDM,6,2,2.87,4.0
Mikko Koivu,4400,C,MIN,BOS,1,1,2.83,4.0
Craig Smith,5100,RW,NSH,WPJ,2,2,2.54,2.5
Ryan Kesler,4000,C,ANA,EDM,2,2,2.54,5.0
Kevin Fiala,5000,LW,NSH,WPJ,2,1,2.53,2.5
Tyler Myers,4200,D,WPJ,NSH,6,2,2.51,2.5
Kyle Turris,4900,C,NSH,WPJ,2,2,2.43,7.0
Esa Lindell,3500,D,DAL,VAN,5,2,2.41,3.0
Darnell Nurse,4500,D,EDM,ANA,5,2,2.34,2.0
Nino Niederreiter,4300,LW,MIN,BOS,2,1,2.24,0.5
Adam Henrique,4500,C,ANA,EDM,3,1,2.19,8.5
Riley Nash,5300,C,BOS,MIN,3,0,2.18,0.5
Daniel Sedin,4000,LW,VAN,DAL,2,1,2.17,1.5
Andrew Cogliano,3700,LW,ANA,EDM,2,0,2.01,4.0
Radek Faksa,3400,C,DAL,VAN,2,2,2.0,1.0
Matt Grzelcyk,4100,D,BOS,MIN,6,2,1.96,1.5
Stephen Johns,3400,D,DAL,VAN,7,2,1.9,1.0
Bryan Little,4500,RW,WPJ,NSH,3,2,1.89,6.0
Danton Heinen,4200,RW,BOS,MIN,3,2,1.85,0.0
Michael Del Zotto,3100,D,VAN,DAL,6,2,1.81,3.0
Nick Holden,3500,D,BOS,MIN,7,2,1.75,0.5
Derrick Pouliot,2900,D,VAN,DAL,6,2,1.75,3.0
Sam Gagner,3500,RW,VAN,DAL,2,1,1.74,1.0
Jonas Brodin,3300,D,MIN,BOS,6,2,1.72,0.5
Mathieu Perreault,3800,LW,WPJ,NSH,3,2,1.66,3.5
Milan Lucic,3400,LW,EDM,ANA,3,1,1.65,2.0
Brandon Sutter,3100,C,VAN,DAL,3,0,1.65,1.0
Brian Gionta,3400,RW,BOS,MIN,2,2,1.62,1.0
Mattias Janmark,3200,LW,DAL,VAN,3,2,1.59,5.5
Ondrej Kase,4400,RW,ANA,EDM,3,2,1.57,1.0
Henrik Sedin,3700,C,VAN,DAL,2,1,1.52,0.5
Ryan Strome,3300,C,EDM,ANA,3,1,1.49,1.0
Brett Ritchie,3900,RW,DAL,VAN,3,1,1.46,0.5
Colton Sissons,3100,LW,NSH,WPJ,3,0,1.44,1.0
Tyler Pitlick,3000,RW,DAL,VAN,2,0,1.44,1.0
Ryan Murphy,2900,D,MIN,BOS,6,2,1.39,0.5
Nick Bonino,3000,C,NSH,WPJ,3,2,1.38,0.5
Ty Rattie,5400,RW,EDM,ANA,1,2,1.38,4.0
Devin Shore,3200,C,DAL,VAN,3,0,1.28,2.5
Jake Virtanen,2900,RW,VAN,DAL,3,2,1.26,4.5
Pontus Aberg,3200,RW,EDM,ANA,2,0,1.22,1.0
Jussi Jokinen,3100,RW,VAN,DAL,1,0,1.21,5.5
Antoine Roussel,2900,LW,DAL,VAN,2,0,1.15,1.0
Nick Ritchie,3000,LW,ANA,EDM,3,2,1.12,1.5
Reid Boucher,2800,LW,VAN,DAL,3,2,1.12,5.5
Ryan Hartman,3200,RW,NSH,WPJ,3,0,1.11,1.0
Jesse Puljujarvi,3200,RW,EDM,ANA,3,2,1.08,2.5
Nikolay Goldobin,3100,LW,VAN,DAL,1,2,1.07,0.0
Andrew Copp,2800,C,WPJ,NSH,3,0,1.04,0.0
Ethan Bear,3300,D,EDM,ANA,6,1,1.04,7.0
Drake Caggiula,3300,LW,EDM,ANA,2,0,0.96,1.0
Joel Eriksson Ek,2800,C,MIN,BOS,3,0,0.89,0.5
Tommy Wingels,2900,LW,BOS,MIN,3,0,0.87,0.5
Daniel Winnik,2900,RW,MIN,BOS,3,0,0.83,0.0
