playerName,sal,pos,team,opp,line,ppLine,proj,actual
Taylor Hall,7600,LW,NJD,MTL,1,1,5.46,6.5
Nikita Kucherov,7800,RW,TBL,FLO,1,1,5.34,3.5
Nathan MacKinnon,7700,C,COL,CHI,1,1,5.22,5.0
Blake Wheeler,7700,RW,WPJ,NYR,1,1,5.16,3.5
Mark Scheifele,7500,C,WPJ,NYR,1,1,5.04,0.0
Steven Stamkos,7200,C,TBL,FLO,1,1,5.02,3.0
Victor Hedman,6500,D,TBL,FLO,5,1,5.02,2.5
Patrick Kane,6800,RW,CHI,COL,1,1,5.0,4.0
Alex Ovechkin,7900,LW,WSH,ANA,1,1,4.99,1.0
Tyler Seguin,7000,C,DAL,NSH,1,1,4.54,1.5
Aleksander Barkov,6900,C,FLO,TBL,1,1,4.45,6.5
Dustin Byfuglien,6000,D,WPJ,NYR,5,1,4.44,3.5
Eric Staal,7300,C,MIN,CAR,2,1,4.25,9.5
Patrik Laine,7000,RW,WPJ,NYR,3,1,4.23,13.0
Brad Marchand,7200,LW,BOS,DET,1,1,4.12,18.0
Jonathan Marchessault,7100,LW,VGK,CBJ,1,1,4.06,2.0
William Karlsson,7100,C,VGK,CBJ,1,1,4.04,0.5
Ryan Suter,5500,D,MIN,CAR,5,2,4.04,4.5
Seth Jones,5800,D,CBJ,VGK,5,1,3.98,1.0
Tyson Barrie,6100,D,COL,CHI,5,1,3.98,4.0
Artemi Panarin,5700,LW,CBJ,VGK,1,1,3.97,9.5
Jonathan Toews,5200,C,CHI,COL,1,2,3.9,7.5
Mikael Granlund,6900,RW,MIN,CAR,2,2,3.89,3.5
P.K. Subban,5900,D,NSH,DAL,5,1,3.86,1.5
Mikko Rantanen,6600,RW,COL,CHI,1,1,3.83,0.0
Ryan Getzlaf,6700,C,ANA,WSH,1,1,3.82,5.0
Jamie Benn,6700,LW,DAL,NSH,1,1,3.79,2.0
Sami Vatanen,4300,D,NJD,MTL,5,1,3.78,6.5
Kyle Palmieri,5600,RW,NJD,MTL,2,1,3.76,4.5
Viktor Arvidsson,6200,RW,NSH,DAL,1,1,3.73,3.0
Brayden Point,6200,C,TBL,FLO,2,2,3.72,5.0
Reilly Smith,6400,RW,VGK,CBJ,1,1,3.71,1.0
Cam Atkinson,5800,RW,CBJ,VGK,1,1,3.7,3.5
Filip Forsberg,6100,LW,NSH,DAL,1,1,3.69,2.0
Vincent Trocheck,6400,C,FLO,TBL,2,1,3.64,5.5
John Carlson,6400,D,WSH,ANA,6,1,3.62,1.5
Jason Zucker,6500,LW,MIN,CAR,2,2,3.56,3.0
Kyle Connor,5800,LW,WPJ,NYR,1,1,3.52,1.5
David Pastrnak,6700,RW,BOS,DET,1,1,3.51,8.5
Gabriel Landeskog,6100,LW,COL,CHI,1,1,3.47,4.0
Nicklas Backstrom,6500,C,WSH,ANA,1,1,3.44,1.5
Jared Spurgeon,5300,D,MIN,CAR,6,2,3.43,5.0
Duncan Keith,4200,D,CHI,COL,5,2,3.41,4.5
Matt Dumba,5100,D,MIN,CAR,5,1,3.4,4.0
Evgeny Kuznetsov,6100,C,WSH,ANA,2,1,3.38,1.5
Evgenii Dadonov,6200,LW,FLO,TBL,1,1,3.38,6.0
Zach Parise,5300,LW,MIN,CAR,1,1,3.33,4.0
Nikolaj Ehlers,6300,LW,WPJ,NYR,3,2,3.25,2.0
Ryan Ellis,5400,D,NSH,DAL,6,2,3.24,4.0
Rick Nash,6500,RW,BOS,DET,2,1,3.24,1.5
Rickard Rakell,7000,LW,ANA,WSH,1,1,3.24,7.5
Keith Yandle,5200,D,FLO,TBL,5,1,3.23,6.5
John Klingberg,5700,D,DAL,NSH,5,1,3.22,1.5
Henrik Zetterberg,4500,C,DET,BOS,1,1,3.19,4.5
Torey Krug,5600,D,BOS,DET,6,1,3.13,12.5
Alexander Radulov,6000,RW,DAL,NSH,2,1,3.09,1.5
Mikko Koivu,5100,C,MIN,CAR,1,2,3.08,5.0
Jonathan Huberdeau,5800,LW,FLO,TBL,2,1,3.05,2.0
Gustav Nyquist,4300,RW,DET,BOS,1,1,3.05,2.5
Brandon Saad,4300,LW,CHI,COL,1,2,3.03,3.5
Zach Werenski,4700,D,CBJ,VGK,5,2,3.02,4.0
Aaron Ekblad,4800,D,FLO,TBL,5,2,3.02,2.5
Ryan Johansen,5300,C,NSH,DAL,1,1,3.01,2.0
Brent Seabrook,3800,D,CHI,COL,6,1,3.0,0.5
Dylan Larkin,5100,C,DET,BOS,2,2,3.0,6.0
Tyler Johnson,4700,C,TBL,FLO,3,1,2.93,2.0
David Perron,5500,LW,VGK,CBJ,2,2,2.93,3.5
