playerName,sal,pos,team,opp,line,ppLine,proj,actual
Alex Ovechkin,8000,LW,WSH,NYR,1,1,5.36,2.5
Nathan MacKinnon,7700,C,COL,PHI,1,1,5.3,1.5
Aleksander Barkov,7300,C,FLO,TOR,1,1,4.87,0.0
Vincent Trocheck,7100,C,FLO,TOR,2,1,4.52,3.0
Auston Matthews,7200,C,TOR,FLO,1,2,4.48,4.5
Claude Giroux,6200,LW,PHI,COL,1,1,4.42,3.5
Evgeny Kuznetsov,6800,C,WSH,NYR,1,1,4.38,6.5
John Carlson,6300,D,WSH,NYR,6,1,4.27,2.5
Mikko Rantanen,6500,RW,COL,PHI,1,1,4.24,2.0
Sean Couturier,6200,C,PHI,COL,1,1,4.22,2.0
Shayne Gostisbehere,6000,D,PHI,COL,5,1,4.03,5.5
Keith Yandle,5700,D,FLO,TOR,5,1,4.01,5.5
Nicklas Backstrom,6400,C,WSH,NYR,2,1,3.96,4.5
Tyson Barrie,5500,D,COL,PHI,5,1,3.93,0.5
Mika Zibanejad,5900,C,NYR,WSH,1,1,3.92,2.0
Jakub Voracek,5800,RW,PHI,COL,2,1,3.75,2.5
William Karlsson,7000,C,VGK,ARI,1,1,3.74,2.5
Jonathan Marchessault,7200,LW,VGK,ARI,1,1,3.7,5.5
Evgenii Dadonov,6700,LW,FLO,TOR,1,1,3.55,3.5
Gabriel Landeskog,5700,LW,COL,PHI,1,1,3.53,1.5
Jonathan Huberdeau,6100,LW,FLO,TOR,2,1,3.49,10.0
Morgan Rielly,5300,D,TOR,FLO,5,1,3.48,3.5
Oliver Ekman-Larsson,4400,D,ARI,VGK,5,1,3.41,3.5
Mitchell Marner,5900,RW,TOR,FLO,2,1,3.37,6.0
Nazem Kadri,5500,C,TOR,FLO,2,1,3.34,1.0
James van Riemsdyk,6600,LW,TOR,FLO,3,1,3.26,6.0
Clayton Keller,5600,RW,ARI,VGK,1,1,3.23,2.5
Erik Johnson,4800,D,COL,PHI,6,2,3.22,4.0
Aaron Ekblad,5100,D,FLO,TOR,5,2,3.21,4.0
T.J. Oshie,5200,RW,WSH,NYR,2,1,3.13,4.0
Derek Stepan,5100,C,ARI,VGK,1,1,3.11,2.0
Ivan Provorov,5000,D,PHI,COL,5,2,3.07,8.0
William Nylander,5500,RW,TOR,FLO,1,2,2.98,5.0
James Neal,5400,RW,VGK,ARI,2,1,2.96,4.0
Jake Gardiner,4300,D,TOR,FLO,6,2,2.94,4.0
Chris Kreider,4900,LW,NYR,WSH,1,1,2.76,2.5
Wayne Simmonds,5000,RW,PHI,COL,3,1,2.74,2.5
Nick Bjugstad,6000,RW,FLO,TOR,1,2,2.72,3.0
Mike Matheson,4500,D,FLO,TOR,6,2,2.69,2.5
Erik Haula,5700,C,VGK,ARI,2,2,2.68,4.0
Travis Konecny,5300,RW,PHI,COL,1,2,2.63,1.5
Dmitry Orlov,3800,D,WSH,NYR,5,2,2.5,0.0
Patrick Marleau,4700,LW,TOR,FLO,2,2,2.38,4.5
Shea Theodore,4600,D,VGK,ARI,6,1,2.37,1.0
Neal Pionk,4000,D,NYR,WSH,5,1,2.35,2.0
Mats Zuccarello,4800,RW,NYR,WSH,2,2,2.21,3.5
Alex Goligoski,3700,D,ARI,VGK,6,2,2.19,2.5
