playerName,sal,pos,team,opp,line,ppLine,proj,actual
Nathan MacKinnon,7500,C,COL,VGK,1,1,5.33,2.0
Aleksander Barkov,7700,C,FLO,NYI,1,1,5.21,4.0
Alex Ovechkin,7900,LW,WSH,NYR,1,1,5.13,9.0
Brent Burns,7200,D,SJS,CHI,5,1,5.04,2.0
Nikita Kucherov,8000,RW,TBL,ARI,1,1,4.97,5.0
John Tavares,7200,C,NYI,FLO,1,1,4.89,3.5
Vincent Trocheck,7300,C,FLO,NYI,2,1,4.78,2.0
Evander Kane,7100,LW,SJS,CHI,1,1,4.65,8.5
Patrick Kane,6800,C,CHI,SJS,1,1,4.44,1.0
Mikko Rantanen,6500,RW,COL,VGK,1,1,4.34,1.0
Joe Pavelski,6400,C,SJS,CHI,1,1,4.28,2.5
Victor Hedman,6400,D,TBL,ARI,5,1,4.27,4.0
Auston Matthews,7400,C,TOR,BUF,1,2,4.25,5.0
Evgeny Kuznetsov,6700,C,WSH,NYR,1,1,4.2,6.5
Anze Kopitar,7100,C,LAK,CGY,1,1,4.15,6.5
Keith Yandle,5900,D,FLO,NYI,5,1,4.15,7.5
Tyson Barrie,5500,D,COL,VGK,5,1,4.08,2.0
John Carlson,6300,D,WSH,NYR,6,1,4.04,4.0
Evgenii Dadonov,7000,LW,FLO,NYI,1,1,4.0,6.0
William Karlsson,6900,C,VGK,COL,1,1,3.94,8.5
Brendan Gallagher,6200,RW,MTL,DET,1,1,3.86,9.5
Jack Eichel,7000,C,BUF,TOR,2,1,3.86,9.0
Jonathan Marchessault,6900,LW,VGK,COL,1,1,3.85,9.0
Nicklas Backstrom,6600,C,WSH,NYR,2,1,3.83,5.0
Jonathan Huberdeau,6400,LW,FLO,NYI,2,1,3.83,2.0
Mika Zibanejad,6200,C,NYR,WSH,1,1,3.83,1.5
Logan Couture,6000,C,SJS,CHI,2,1,3.77,1.7
Gabriel Landeskog,5600,LW,COL,VGK,1,1,3.73,0.5
Ryan O'Reilly,5600,C,BUF,TOR,1,1,3.73,1.0
Anders Lee,6300,LW,NYI,FLO,1,1,3.72,1.0
Mathew Barzal,6100,C,NYI,FLO,2,1,3.62,0.5
Mark Giordano,4900,D,CGY,LAK,5,1,3.56,2.0
Dougie Hamilton,5100,D,CGY,LAK,5,1,3.54,1.5
Aaron Ekblad,5400,D,FLO,NYI,5,2,3.47,3.0
Mike Hoffman,6300,RW,OTT,CAR,1,1,3.45,1.5
Drew Doughty,5800,D,LAK,CGY,5,1,3.43,3.0
Josh Bailey,5900,RW,NYI,FLO,1,1,3.42,1.5
Morgan Rielly,5700,D,TOR,BUF,5,1,3.39,0.5
Mitchell Marner,6100,RW,TOR,BUF,2,1,3.37,2.0
Rasmus Ristolainen,5600,D,BUF,TOR,5,1,3.36,1.5
