playerName,sal,pos,team,opp,line,ppLine,proj,actual
Erik Karlsson,6300,D,OTT,CGY,5,1,5.58,4.0
Tyler Seguin,7400,C,DAL,ANA,1,1,5.32,7.5
Johnny Gaudreau,7500,LW,CGY,OTT,1,1,5.2,3.0
Mark Giordano,5800,D,CGY,OTT,5,1,4.95,3.0
Mark Stone,6200,RW,OTT,CGY,2,1,4.84,0.5
Sean Monahan,7000,C,CGY,OTT,1,1,4.83,1.0
Dougie Hamilton,5900,D,CGY,OTT,5,1,4.77,2.0
Ryan Getzlaf,6700,C,ANA,DAL,1,1,4.49,6.5
Jamie Benn,6800,LW,DAL,ANA,2,1,4.41,9.5
Ryan Suter,5700,D,MIN,VAN,5,1,4.39,0.0
Artemi Panarin,6600,LW,CBJ,DET,1,1,4.36,5.0
Eric Staal,7600,C,MIN,VAN,2,2,4.33,6.5
Mike Hoffman,6000,RW,OTT,CGY,1,1,4.25,1.5
Seth Jones,6000,D,CBJ,DET,5,1,4.22,9.0
Henrik Zetterberg,4900,C,DET,CBJ,1,1,4.2,1.0
Matthew Tkachuk,6500,LW,CGY,OTT,2,1,4.18,1.5
Dylan Larkin,5100,C,DET,CBJ,2,2,4.1,1.5
Mikael Granlund,7000,RW,MIN,VAN,2,2,4.09,3.0
Jared Spurgeon,5600,D,MIN,VAN,5,1,4.0,3.5
Rickard Rakell,6900,LW,ANA,DAL,1,1,3.98,4.0
Gustav Nyquist,4200,RW,DET,CBJ,1,1,3.96,3.0
Alexander Radulov,6400,RW,DAL,ANA,1,1,3.9,2.0
John Klingberg,6200,D,DAL,ANA,5,1,3.89,4.0
Matt Duchene,5500,C,OTT,CGY,1,1,3.78,0.0
Jason Zucker,6700,LW,MIN,VAN,2,2,3.76,2.5
Cam Atkinson,6300,RW,CBJ,DET,1,1,3.63,5.0
Anthony Mantha,5000,RW,DET,CBJ,2,2,3.56,1.0
Mikael Backlund,6100,C,CGY,OTT,2,2,3.52,1.5
Zach Parise,5800,LW,MIN,VAN,1,1,3.44,5.0
Mikko Koivu,5300,C,MIN,VAN,1,1,3.44,0.5
Mike Green,4200,D,DET,CBJ,7,2,3.29,3.0
Zach Werenski,5100,D,CBJ,DET,5,2,3.23,0.5
Cam Fowler,4700,D,ANA,DAL,5,1,3.19,2.5
Alexander Edler,5500,D,VAN,MIN,5,1,3.17,3.5
Matt Dumba,5300,D,MIN,VAN,6,2,3.02,4.5
Bo Horvat,5900,C,VAN,MIN,2,1,2.99,2.5
Pierre-Luc Dubois,5700,C,CBJ,DET,1,1,2.94,0.5
Corey Perry,5500,RW,ANA,DAL,1,2,2.83,2.5
Michael Frolik,4800,RW,CGY,OTT,2,0,2.83,1.0
