playerName,sal,pos,team,opp,line,ppLine,proj,actual
Nathan MacKinnon,7900,C,COL,CHI,1,1,6.26,4.5
Nikita Kucherov,7800,RW,TBL,NYR,1,1,5.86,1.0
Alex Ovechkin,8000,LW,WSH,CAR,1,1,5.34,1.0
Mikko Rantanen,6600,RW,COL,CHI,1,1,5.34,6.0
Steven Stamkos,7300,C,TBL,NYR,1,1,5.28,0.5
Victor Hedman,6200,D,TBL,NYR,5,1,5.13,7.0
Tyson Barrie,5700,D,COL,CHI,5,1,5.02,9.0
Patrick Kane,6500,RW,CHI,COL,1,1,4.78,1.5
Auston Matthews,7600,C,TOR,NYI,1,2,4.76,7.5
Anze Kopitar,6600,C,LAK,ANA,1,1,4.73,2.0
John Tavares,7100,C,NYI,TOR,1,1,4.73,5.0
Gabriel Landeskog,5900,LW,COL,CHI,1,1,4.67,4.0
Alex Pietrangelo,5900,D,STL,VGK,5,1,4.49,1.5
Evgeny Kuznetsov,6900,C,WSH,CAR,1,1,4.39,1.0
Mika Zibanejad,5500,C,NYR,TBL,1,1,4.39,3.5
John Carlson,6300,D,WSH,CAR,6,1,4.31,3.0
Vladimir Tarasenko,6800,RW,STL,VGK,1,1,4.24,2.5
Jonathan Marchessault,6900,LW,VGK,STL,1,1,4.17,8.0
J.T. Miller,6400,LW,TBL,NYR,1,1,4.15,6.5
William Karlsson,6700,C,VGK,STL,1,1,4.08,10.5
Drew Doughty,5400,D,LAK,ANA,5,1,3.98,5.0
Brayden Point,5900,C,TBL,NYR,2,2,3.97,8.5
Nicklas Backstrom,6400,C,WSH,CAR,2,1,3.92,1.5
James van Riemsdyk,7000,LW,TOR,NYI,3,1,3.84,5.5
Ryan Getzlaf,6300,C,ANA,LAK,1,1,3.76,1.0
Mitchell Marner,6200,RW,TOR,NYI,2,1,3.75,7.5
Morgan Rielly,5500,D,TOR,NYI,5,1,3.72,2.5
Brayden Schenn,5700,C,STL,VGK,1,1,3.69,4.0
Jaden Schwartz,6100,LW,STL,VGK,1,1,3.67,3.5
Anders Lee,6300,LW,NYI,TOR,1,1,3.61,3.5
Nazem Kadri,6100,C,TOR,NYI,2,1,3.57,6.0
Jeff Carter,5600,C,LAK,ANA,2,1,3.51,3.0
Dustin Brown,5800,RW,LAK,ANA,1,1,3.42,2.5
Chris Kreider,4900,LW,NYR,TBL,1,1,3.42,5.0
Mathew Barzal,6000,C,NYI,TOR,2,1,3.37,2.0
Rickard Rakell,6700,LW,ANA,LAK,1,1,3.36,5.5
William Nylander,5900,RW,TOR,NYI,1,2,3.29,4.0
Tyler Johnson,5800,RW,TBL,NYR,2,2,3.25,2.0
Jake Gardiner,4900,D,TOR,NYI,6,2,3.18,4.5
Duncan Keith,4400,D,CHI,COL,5,2,3.16,2.5
T.J. Oshie,5300,RW,WSH,CAR,2,1,3.15,2.0
James Neal,5200,RW,VGK,STL,2,2,3.12,4.5
Nikita Zadorov,3100,D,COL,CHI,5,2,3.04,2.0
Erik Haula,5300,C,VGK,STL,2,2,3.02,3.0
Brandon Saad,4800,LW,CHI,COL,1,2,3.02,1.0
Yanni Gourde,5100,RW,TBL,NYR,2,2,2.93,5.0
Carl Soderberg,3800,C,COL,CHI,3,2,2.9,2.5
Tyson Jost,3500,LW,COL,CHI,2,1,2.85,4.0
Jordan Eberle,5700,RW,NYI,TOR,2,2,2.83,6.0
Colton Parayko,4800,D,STL,VGK,6,2,2.81,3.0
Ryan Pulock,5300,D,NYI,TOR,7,2,2.8,2.5
Erik Gustafsson,3900,D,CHI,COL,6,1,2.78,2.0
Patrick Marleau,5100,LW,TOR,NYI,2,2,2.76,1.0
Cam Fowler,5000,D,ANA,LAK,5,1,2.76,1.0
Nick Leddy,4800,D,NYI,TOR,5,1,2.76,1.0
Ondrej Palat,4600,LW,TBL,NYR,3,2,2.74,0.5
Brent Seabrook,4100,D,CHI,COL,5,2,2.74,3.0
Alexander Steen,4700,RW,STL,VGK,2,1,2.72,2.5
Shea Theodore,4600,D,VGK,STL,6,1,2.68,1.0
Neal Pionk,4100,D,NYR,TBL,5,1,2.66,2.5
Mats Zuccarello,4800,RW,NYR,TBL,2,2,2.65,3.0
J.T. Compher,3600,C,COL,CHI,2,2,2.64,0.5
Matt Niskanen,4200,D,WSH,CAR,5,2,2.58,2.0
Tyler Bozak,4900,C,TOR,NYI,3,1,2.5,2.0
Alex DeBrincat,4500,LW,CHI,COL,2,2,2.48,0.5
Sebastian Aho,5400,C,CAR,WSH,3,1,2.45,4.0
Jaccob Slavin,4400,D,CAR,WSH,5,1,2.45,5.5
Nick Schmaltz,4000,C,CHI,COL,1,2,2.42,0.5
Zach Hyman,4200,LW,TOR,NYI,1,0,2.41,2.5
Jeff Skinner,5600,LW,CAR,WSH,2,2,2.41,0.0
Dmitry Orlov,3800,D,WSH,CAR,5,2,2.36,1.0
Jordan Staal,4700,C,CAR,WSH,1,1,2.34,2.0
Alex Tuch,4900,RW,VGK,STL,1,1,2.32,2.5
Hampus Lindholm,4500,D,ANA,LAK,6,2,2.32,1.0
Corey Perry,5400,RW,ANA,LAK,1,2,2.31,1.5
Tyler Toffoli,5000,RW,LAK,ANA,2,2,2.31,3.5
Blake Comeau,3200,RW,COL,CHI,3,0,2.29,0.0
Brady Skjei,3600,D,NYR,TBL,6,2,2.28,5.0
Nate Schmidt,3900,D,VGK,STL,5,2,2.27,3.5
Alexander Kerfoot,3600,RW,COL,CHI,2,2,2.27,2.0
Samuel Girard,3000,D,COL,CHI,7,2,2.27,4.0
Kevin Hayes,4300,LW,NYR,TBL,2,2,2.27,2.5
Colin Miller,4000,D,VGK,STL,7,2,2.24,2.5
Artem Anisimov,3100,C,CHI,COL,3,1,2.24,2.0
Jakob Silfverberg,4700,RW,ANA,LAK,2,0,2.2,3.0
Alex Killorn,3800,LW,TBL,NYR,3,1,2.16,7.0
Jesper Fast,4500,RW,NYR,TBL,1,0,2.16,2.5
Teuvo Teravainen,5500,RW,CAR,WSH,3,1,2.15,3.0
Matt Nieto,3100,LW,COL,CHI,3,0,2.14,0.0
Dion Phaneuf,4300,D,LAK,ANA,6,1,2.11,1.5
Brandon Montour,4300,D,ANA,LAK,5,1,2.08,3.0
Mikhail Sergachev,4000,D,TBL,NYR,6,2,2.07,5.5
Tomas Tatar,4400,LW,VGK,STL,2,2,2.06,2.5
Vince Dunn,3500,D,STL,VGK,6,2,1.98,0.0
Patrik Berglund,3300,LW,STL,VGK,2,2,1.91,5.0
Anthony Beauvillier,4300,LW,NYI,TOR,2,2,1.9,5.5
Tanner Pearson,4100,RW,LAK,ANA,1,2,1.89,1.0
Ryan Kesler,3900,C,ANA,LAK,2,2,1.88,1.5
Alec Martinez,4700,D,LAK,ANA,6,2,1.88,2.5
Lars Eller,4100,C,WSH,CAR,3,2,1.85,1.0
Elias Lindholm,4300,C,CAR,WSH,2,1,1.84,1.5
Justin Williams,4000,RW,CAR,WSH,1,2,1.77,3.0
Tom Wilson,4200,RW,WSH,CAR,1,0,1.69,0.5
Adam Henrique,4500,C,ANA,LAK,3,1,1.64,1.0
Ryan Spooner,3900,RW,NYR,TBL,3,2,1.61,0.5
Noah Hanifin,3700,D,CAR,WSH,6,2,1.6,0.0
Andrew Cogliano,3700,LW,ANA,LAK,2,0,1.56,1.5
Brock Nelson,3200,C,NYI,TOR,3,2,1.54,6.5
Anthony Cirelli,3300,C,TBL,NYR,3,0,1.48,4.0
Kyle Brodziak,3100,C,STL,VGK,2,0,1.44,2.0
Andrew Ladd,3100,LW,NYI,TOR,3,1,1.44,3.0
Andre Burakovsky,4100,LW,WSH,CAR,2,2,1.43,1.5
Vladimir Sobotka,3000,C,STL,VGK,3,2,1.42,1.5
Connor Brown,3400,RW,TOR,NYI,3,0,1.35,0.5
Tomas Jurco,2900,LW,CHI,COL,3,0,1.35,1.5
Tobias Rieder,3600,LW,LAK,ANA,2,0,1.3,1.0
Jimmy Vesey,3300,LW,NYR,TBL,3,2,1.3,1.0
Tanner Fritz,2800,RW,NYI,TOR,1,2,1.18,0.5
Cody Eakin,3000,C,VGK,STL,3,0,1.12,3.5
Andreas Martinsen,2700,RW,CHI,COL,3,0,1.07,0.5
Ondrej Kase,4400,RW,ANA,LAK,3,2,1.06,4.5
Brock McGinn,3200,LW,CAR,WSH,1,0,1.06,5.0
Valentin Zykov,4600,LW,CAR,WSH,3,2,1.03,3.0
Adrian Kempe,3000,C,LAK,ANA,3,2,0.96,1.5
Trevor Lewis,3000,RW,LAK,ANA,3,0,0.92,0.0
Filip Chytil,3500,C,NYR,TBL,2,0,0.85,5.5
Jakub Vrana,3000,RW,WSH,CAR,3,2,0.82,1.5
Nick Ritchie,2900,LW,ANA,LAK,3,0,0.78,4.0
Dmitrij Jaskin,2900,LW,STL,VGK,3,0,0.73,0.0
Phillip Di Giuseppe,3100,RW,CAR,WSH,2,0,0.68,3.5
Ryan Reaves,2700,RW,VGK,STL,3,0,0.66,1.5
Marcus Pettersson,2800,D,ANA,LAK,7,2,0.66,0.0
Ross Johnston,2800,LW,NYI,TOR,3,0,0.66,0.5
Nate Thompson,2700,LW,LAK,ANA,3,0,0.65,0.5
Devante Smith-Pelly,2900,RW,WSH,CAR,3,0,0.6,1.0
Ivan Barbashev,2700,LW,STL,VGK,3,2,0.57,1.0
Oscar Lindberg,2800,LW,VGK,STL,3,0,0.56,0.0
