playerName,sal,pos,team,opp,line,ppLine,proj,actual
Nathan MacKinnon,7600,C,COL,VGK,1,1,5.63,1.5
Brent Burns,7000,D,SJS,CGY,5,1,4.85,4.0
Mikko Rantanen,6900,RW,COL,VGK,1,1,4.66,2.5
Tyson Barrie,5800,D,COL,VGK,5,1,4.39,1.5
Johnny Gaudreau,6500,LW,CGY,SJS,1,1,4.24,2.0
William Karlsson,6900,C,VGK,COL,1,1,4.07,2.0
Evander Kane,6800,LW,SJS,CGY,2,1,4.07,9.0
Gabriel Landeskog,5800,LW,COL,VGK,1,1,3.99,4.2
Jonathan Marchessault,6700,LW,VGK,COL,1,1,3.95,5.0
Joe Pavelski,6500,C,SJS,CGY,2,1,3.9,4.5
Logan Couture,6000,C,SJS,CGY,1,1,3.8,3.0
Mark Giordano,5000,D,CGY,SJS,5,1,3.74,2.0
Dougie Hamilton,5200,D,CGY,SJS,5,1,3.69,3.5
James Neal,5300,RW,VGK,COL,2,1,3.31,3.5
Erik Haula,5300,C,VGK,COL,2,2,3.09,0.5
David Perron,5000,LW,VGK,COL,2,2,3.02,0.5
Tomas Hertl,4900,LW,SJS,CGY,1,1,2.84,2.0
Mikael Backlund,5000,C,CGY,SJS,2,1,2.82,1.0
Colin Miller,4500,D,VGK,COL,6,2,2.52,0.5
Nate Schmidt,4100,D,VGK,COL,5,2,2.45,2.0
Shea Theodore,3900,D,VGK,COL,6,1,2.44,7.0
Marc-Edouard Vlasic,4300,D,SJS,CGY,6,2,2.43,2.0
Tomas Tatar,4400,RW,VGK,COL,1,2,2.39,1.5
Michael Frolik,4300,LW,CGY,SJS,2,2,2.1,1.0
Tyson Jost,3500,LW,COL,VGK,2,1,2.02,1.5
Sam Bennett,4700,RW,CGY,SJS,1,2,1.91,1.0
Alex Tuch,3800,RW,VGK,COL,3,1,1.85,0.0
Carl Soderberg,3900,C,COL,VGK,3,0,1.83,5.0
J.T. Compher,3300,C,COL,VGK,2,2,1.79,2.5
Samuel Girard,2900,D,COL,VGK,7,2,1.79,0.5
Micheal Ferland,4200,LW,CGY,SJS,3,2,1.79,2.0
Blake Comeau,3000,RW,COL,VGK,3,2,1.72,0.5
Timo Meier,3900,LW,SJS,CGY,3,2,1.69,2.0
Mikkel Boedker,4100,RW,SJS,CGY,1,2,1.66,0.5
Michael Stone,3300,D,CGY,SJS,6,2,1.61,4.5
Kevin Labanc,3700,RW,SJS,CGY,3,2,1.48,2.0
Alexander Kerfoot,3000,C,COL,VGK,2,2,1.46,3.5
Matt Nieto,2900,LW,COL,VGK,3,0,1.43,0.5
Troy Brouwer,3200,RW,CGY,SJS,2,1,1.43,1.5
Chris Tierney,3700,C,SJS,CGY,3,2,1.25,6.0
Cody Eakin,3100,C,VGK,COL,3,0,1.24,1.5
Ryan Carpenter,3000,LW,VGK,COL,3,0,0.94,1.5
Melker Karlsson,3300,RW,SJS,CGY,2,0,0.94,3.0
Mark Jankowski,3200,C,CGY,SJS,3,0,0.93,2.5
Curtis Lazar,2700,RW,CGY,SJS,1,0,0.92,1.0
Rasmus Andersson,2800,D,CGY,SJS,7,2,0.74,1.5
Chris Stewart,2900,RW,CGY,SJS,3,0,0.66,3.5
