playerName,sal,pos,team,opp,line,ppLine,proj,actual
Brad Marchand,7500,LW,BOS,FLO,1,1,5.43,0.5
Patrice Bergeron,7400,C,BOS,FLO,1,1,5.18,4.0
David Pastrnak,7000,RW,BOS,FLO,1,1,4.82,3.5
Erik Karlsson,6200,D,OTT,DET,5,1,4.78,3.5
Aleksander Barkov,6900,C,FLO,BOS,1,1,4.48,2.0
Torey Krug,6100,D,BOS,FLO,5,1,4.37,1.5
Vincent Trocheck,6300,C,FLO,BOS,2,1,4.03,4.5
Keith Yandle,5500,D,FLO,BOS,5,1,3.62,2.5
Matt Duchene,6500,C,OTT,DET,1,1,3.54,1.5
Evgenii Dadonov,6500,LW,FLO,BOS,1,1,3.52,1.5
Mike Hoffman,6100,RW,OTT,DET,2,1,3.51,3.0
Dylan Larkin,6000,C,DET,OTT,2,2,3.37,5.5
Henrik Zetterberg,5400,C,DET,OTT,1,1,3.36,1.0
Jonathan Huberdeau,6000,LW,FLO,BOS,2,1,3.34,1.5
Gustav Nyquist,4700,RW,DET,OTT,1,1,3.23,1.0
David Krejci,5200,C,BOS,FLO,2,2,3.19,7.5
Aaron Ekblad,4800,D,FLO,BOS,5,2,2.91,0.0
Ryan Donato,5300,LW,BOS,FLO,2,1,2.77,6.0
Nick Bjugstad,5500,RW,FLO,BOS,1,2,2.48,2.0
David Backes,4400,RW,BOS,FLO,3,2,2.39,3.5
Matt Grzelcyk,3500,D,BOS,FLO,6,2,2.36,3.5
Mike Matheson,4300,D,FLO,BOS,6,2,2.35,3.0
Anthony Mantha,4900,RW,DET,OTT,2,2,2.34,3.0
Bobby Ryan,4600,RW,OTT,DET,1,1,2.34,1.0
Jean-Gabriel Pageau,4400,C,OTT,DET,2,1,2.27,1.0
Riley Nash,3600,C,BOS,FLO,3,0,2.23,0.0
Tyler Bertuzzi,4100,LW,DET,OTT,1,1,2.19,0.5
Cody Ceci,3800,D,OTT,DET,6,2,2.08,1.0
Niklas Kronwall,3200,D,DET,OTT,6,1,2.03,3.5
Danton Heinen,3800,LW,BOS,FLO,3,2,1.94,0.5
Frans Nielsen,3500,C,DET,OTT,3,2,1.92,0.0
Jake DeBrusk,4500,LW,BOS,FLO,2,2,1.84,9.0
Justin Abdelkader,3300,RW,DET,OTT,3,1,1.84,1.0
Ryan Dzingel,4000,LW,OTT,DET,1,2,1.8,1.0
Andreas Athanasiou,4200,LW,DET,OTT,3,0,1.79,5.0
Darren Helm,3500,LW,DET,OTT,2,0,1.76,1.5
Thomas Chabot,3600,D,OTT,DET,5,2,1.66,0.5
Jamie McGinn,3200,RW,FLO,BOS,2,2,1.33,3.5
Tom Pyatt,2900,LW,OTT,DET,2,0,1.3,1.0
Joe Hicketts,3100,D,DET,OTT,7,2,1.22,1.0
Zack Smith,3400,C,OTT,DET,3,0,1.22,0.5
Jared McCann,3200,C,FLO,BOS,3,2,1.19,1.5
Maxim Mamin,2800,LW,FLO,BOS,3,0,0.64,0.0
