playerName,sal,pos,team,opp,line,ppLine,proj,actual
Brent Burns,7400,D,SJS,CHI,5,1,5.78,8.5
Aleksander Barkov,7000,C,FLO,NJD,1,1,5.54,9.5
Connor McDavid,7400,C,EDM,NSH,1,1,5.44,6.5
Tyler Seguin,7200,C,DAL,TBL,1,1,5.4,12.5
Taylor Hall,7700,LW,NJD,FLO,1,1,5.3,5.0
Joe Pavelski,6700,C,SJS,CHI,1,1,5.22,9.0
Anze Kopitar,6400,C,LAK,CBJ,1,1,5.2,1.5
Vincent Trocheck,6500,C,FLO,NJD,2,1,5.12,1.5
Roman Josi,6600,D,NSH,EDM,5,1,5.07,3.5
Evander Kane,6600,LW,SJS,CHI,1,1,5.06,3.5
Brad Marchand,7200,LW,BOS,PIT,1,1,4.88,4.5
Jamie Benn,6300,C,DAL,TBL,1,1,4.78,4.5
Evgeni Malkin,7600,C,PIT,BOS,2,1,4.7,7.0
Logan Couture,6200,C,SJS,CHI,2,1,4.7,6.0
Sidney Crosby,7100,C,PIT,BOS,1,1,4.69,2.0
Claude Giroux,7000,LW,PHI,CAR,1,1,4.61,2.5
Patrick Kane,6800,RW,CHI,SJS,2,1,4.56,2.5
Steven Stamkos,7300,RW,TBL,DAL,1,1,4.55,4.0
Victor Hedman,6500,D,TBL,DAL,5,1,4.55,4.0
Eric Staal,7300,C,MIN,ARI,2,1,4.5,1.0
John Klingberg,5400,D,DAL,TBL,5,1,4.47,4.5
Alexander Radulov,5800,RW,DAL,TBL,1,1,4.46,3.5
Evgenii Dadonov,6000,LW,FLO,NJD,1,1,4.42,5.5
Keith Yandle,5100,D,FLO,NJD,5,1,4.41,1.5
Drew Doughty,5200,D,LAK,CBJ,5,1,4.37,4.0
Sean Couturier,6900,C,PHI,CAR,1,1,4.32,4.0
Jonathan Huberdeau,5700,LW,FLO,NJD,2,1,4.26,1.0
P.K. Subban,6000,D,NSH,EDM,6,2,4.25,1.5
David Pastrnak,6100,RW,BOS,PIT,1,1,4.15,9.0
Ryan Suter,5200,D,MIN,ARI,5,2,4.14,2.5
Leon Draisaitl,6000,C,EDM,NSH,2,1,4.07,4.0
Aaron Ekblad,4900,D,FLO,NJD,5,2,4.03,3.0
Filip Forsberg,6200,LW,NSH,EDM,1,2,4.02,7.0
Mikael Granlund,6700,RW,MIN,ARI,2,2,4.01,3.5
Jakub Voracek,6300,RW,PHI,CAR,2,1,3.98,0.0
Ryan Ellis,5500,D,NSH,EDM,5,1,3.93,1.5
Kris Letang,5600,D,PIT,BOS,5,1,3.88,2.0
Shayne Gostisbehere,6200,D,PHI,CAR,5,1,3.83,2.5
Dustin Brown,5000,RW,LAK,CBJ,1,1,3.73,2.5
Kyle Palmieri,5700,RW,NJD,FLO,1,1,3.73,0.0
Jonathan Toews,5800,C,CHI,SJS,1,2,3.72,1.5
Rick Nash,6000,RW,BOS,PIT,2,1,3.7,7.5
Jared Spurgeon,5300,D,MIN,ARI,5,2,3.69,0.5
Phil Kessel,6900,RW,PIT,BOS,3,1,3.68,6.5
Artemi Panarin,5900,LW,CBJ,LAK,1,1,3.67,3.5
Jason Zucker,6500,LW,MIN,ARI,2,2,3.66,1.0
Marc-Edouard Vlasic,4600,D,SJS,CHI,6,2,3.66,4.5
Brayden Point,6600,C,TBL,DAL,2,1,3.65,5.0
Seth Jones,5800,D,CBJ,LAK,5,1,3.63,6.5
Jeff Carter,5300,C,LAK,CBJ,2,1,3.62,5.5
Oliver Ekman-Larsson,4400,D,ARI,MIN,5,1,3.55,2.5
Torey Krug,5000,D,BOS,PIT,6,1,3.48,6.5
Ryan Johansen,5500,C,NSH,EDM,1,2,3.44,3.5
Matt Dumba,4800,D,MIN,ARI,6,1,3.44,4.0
Cam Atkinson,5900,RW,CBJ,LAK,1,1,3.44,5.0
Tomas Hertl,4900,LW,SJS,CHI,2,1,3.42,3.5
Sami Vatanen,4300,D,NJD,FLO,5,1,3.3,3.5
Zach Parise,5400,LW,MIN,ARI,1,1,3.29,5.0
Duncan Keith,4700,D,CHI,SJS,5,2,3.26,3.5
Sebastian Aho,5800,LW,CAR,PHI,2,1,3.24,7.0
Mikko Koivu,5200,C,MIN,ARI,1,2,3.21,5.0
Tyler Toffoli,5100,RW,LAK,CBJ,2,2,3.2,3.5
Jake Muzzin,4400,D,LAK,CBJ,7,1,3.18,3.5
Patric Hornqvist,6500,RW,PIT,BOS,2,1,3.15,4.5
Oscar Klefbom,5000,D,EDM,NSH,6,1,3.14,2.5
Derek Stepan,5600,C,ARI,MIN,1,2,3.14,1.0
Justin Faulk,4500,D,CAR,PHI,5,1,3.13,3.5
Mike Matheson,3900,D,FLO,NJD,6,2,3.11,2.0
Craig Smith,5500,RW,NSH,EDM,2,2,3.1,1.5
Kevin Fiala,5200,LW,NSH,EDM,2,1,3.1,1.0
Clayton Keller,5700,RW,ARI,MIN,1,1,3.1,2.0
Kyle Turris,5100,C,NSH,EDM,2,1,3.08,1.5
Nick Bjugstad,4600,RW,FLO,NJD,1,2,3.08,3.0
Ivan Provorov,5100,D,PHI,CAR,5,2,3.0,1.0
Charlie McAvoy,4500,D,BOS,PIT,5,2,2.99,4.5
Dion Phaneuf,4200,D,LAK,CBJ,6,2,2.95,4.5
Brent Seabrook,4200,D,CHI,SJS,6,1,2.92,1.5
Timo Meier,4600,LW,SJS,CHI,3,2,2.91,4.0
Joonas Donskoi,4200,RW,SJS,CHI,1,0,2.81,5.0
Charlie Coyle,4700,LW,MIN,ARI,1,0,2.8,3.0
Teuvo Teravainen,5600,RW,CAR,PHI,2,1,2.79,5.5
Nico Hischier,5400,C,NJD,FLO,1,2,2.78,1.0
Alex Goligoski,4300,D,ARI,MIN,7,2,2.78,2.0
Jake Guentzel,5300,LW,PIT,BOS,1,2,2.74,0.0
Alec Martinez,3800,D,LAK,CBJ,6,2,2.72,0.5
Travis Konecny,5600,RW,PHI,CAR,1,2,2.71,5.0
Brandon Saad,4600,RW,CHI,SJS,1,2,2.7,0.5
Zach Werenski,4800,D,CBJ,LAK,5,2,2.61,2.5
David Backes,4900,RW,BOS,PIT,3,1,2.59,5.0
Nino Niederreiter,4700,RW,MIN,ARI,3,1,2.58,2.5
David Krejci,5000,C,BOS,PIT,2,2,2.57,12.0
Kevin Labanc,4500,RW,SJS,CHI,3,2,2.57,5.0
Jeff Skinner,5500,LW,CAR,PHI,3,2,2.55,4.5
Artem Anisimov,4300,C,CHI,SJS,2,1,2.55,5.5
Esa Lindell,3400,D,DAL,TBL,5,2,2.54,5.0
Alex Killorn,5300,LW,TBL,DAL,1,1,2.52,4.0
Darnell Nurse,3800,D,EDM,NSH,5,2,2.52,2.0
Tyler Johnson,5200,C,TBL,DAL,3,1,2.48,2.0
Pierre-Luc Dubois,4600,C,CBJ,LAK,1,2,2.47,1.5
Stephen Johns,3900,D,DAL,TBL,7,2,2.47,2.0
Jaccob Slavin,3700,D,CAR,PHI,5,2,2.47,4.0
Jonas Brodin,3400,D,MIN,ARI,6,1,2.44,1.0
Yanni Gourde,5100,C,TBL,DAL,2,2,2.39,0.5
Milan Lucic,4000,LW,EDM,NSH,1,1,2.35,4.0
Derick Brassard,4900,C,PIT,BOS,3,2,2.34,2.5
Tanner Pearson,4100,LW,LAK,CBJ,2,2,2.28,6.0
Mikkel Boedker,3900,RW,SJS,CHI,2,2,2.27,3.5
Chris Tierney,3700,C,SJS,CHI,3,2,2.27,2.5
Travis Zajac,3500,C,NJD,FLO,3,1,2.27,0.0
Nick Foligno,4500,LW,CBJ,LAK,2,2,2.26,1.0
J.T. Miller,4800,LW,TBL,DAL,3,2,2.25,5.5
Bryan Rust,4800,RW,PIT,BOS,1,0,2.24,2.5
Nick Schmaltz,3900,C,CHI,SJS,3,1,2.24,4.0
Christian Fischer,3600,RW,ARI,MIN,2,1,2.23,4.5
Jakob Chychrun,3200,D,ARI,MIN,6,1,2.22,4.5
Alexander Wennberg,4400,C,CBJ,LAK,2,1,2.21,0.5
Elias Lindholm,4000,C,CAR,PHI,2,1,2.21,1.5
Mattias Janmark,3700,RW,DAL,TBL,2,2,2.2,3.5
