playerName,sal,pos,team,opp,line,ppLine,proj,actual
Tyler Seguin,7700,C,DAL,OTT,1,1,6.33,4.5
Jamie Benn,7100,LW,DAL,OTT,1,1,5.67,7.0
Alex Ovechkin,7800,LW,WSH,NYI,1,1,5.56,3.5
Nathan MacKinnon,7100,C,COL,NSH,1,1,4.95,6.5
Brent Burns,7200,D,SJS,CGY,5,1,4.89,2.0
Alexander Radulov,6800,RW,DAL,OTT,1,1,4.83,4.5
John Klingberg,5700,D,DAL,OTT,5,1,4.78,1.0
Ryan Getzlaf,7200,C,ANA,DET,1,1,4.67,3.5
Roman Josi,6200,D,NSH,COL,5,2,4.45,4.0
Erik Karlsson,5600,D,OTT,DAL,5,1,4.41,7.0
Johnny Gaudreau,7000,LW,CGY,SJS,1,1,4.37,5.0
John Carlson,6100,D,WSH,NYI,6,1,4.27,3.5
Evgeny Kuznetsov,6200,C,WSH,NYI,1,1,4.22,5.5
Jonathan Marchessault,6900,LW,VGK,MIN,1,1,4.14,0.5
Rickard Rakell,7300,LW,ANA,DET,1,1,4.14,3.0
Filip Forsberg,6400,LW,NSH,COL,1,1,4.12,9.0
William Karlsson,6600,C,VGK,MIN,1,1,4.1,0.0
Viktor Arvidsson,6600,RW,NSH,COL,1,1,4.06,2.0
Sean Monahan,6500,C,CGY,SJS,1,1,4.03,2.0
Mark Giordano,5300,D,CGY,SJS,5,1,4.01,2.0
Ryan Ellis,5800,D,NSH,COL,5,2,3.98,2.0
John Tavares,7000,C,NYI,WSH,1,1,3.94,6.0
Joe Pavelski,6700,C,SJS,CGY,2,1,3.91,3.5
Mikko Rantanen,6000,RW,COL,NSH,1,1,3.88,2.0
P.K. Subban,5500,D,NSH,COL,6,1,3.87,5.0
Nicklas Backstrom,5500,C,WSH,NYI,2,1,3.86,7.5
Tyson Barrie,5200,D,COL,NSH,5,1,3.86,6.0
Evander Kane,6700,LW,SJS,CGY,2,1,3.83,17.0
Eric Staal,6800,C,MIN,VGK,2,2,3.78,3.5
