playerName,sal,pos,team,opp,line,ppLine,proj,actual
Erik Karlsson,6200,D,OTT,FLO,5,1,5.58,5.5
Ryan Getzlaf,7100,C,ANA,STL,1,1,5.55,3.5
Alex Ovechkin,7600,LW,WSH,WPJ,1,1,5.54,10.0
Vladimir Tarasenko,6700,RW,STL,ANA,1,1,5.18,1.0
Claude Giroux,6200,LW,PHI,VGK,1,1,5.07,5.5
Aleksander Barkov,7600,C,FLO,OTT,1,1,4.98,4.0
Rickard Rakell,7100,LW,ANA,STL,1,1,4.94,0.5
Brent Burns,7300,D,SJS,DET,5,1,4.82,2.0
Alex Pietrangelo,5700,D,STL,ANA,5,2,4.71,6.0
Sean Couturier,6400,C,PHI,VGK,1,1,4.65,4.0
Jakub Voracek,6000,RW,PHI,VGK,2,1,4.5,3.5
Vincent Trocheck,7400,C,FLO,OTT,2,1,4.45,6.0
Sebastian Aho,6000,LW,CAR,NYR,1,1,4.43,3.5
Jaden Schwartz,5200,LW,STL,ANA,1,1,4.38,2.5
Artemi Panarin,7200,LW,CBJ,MTL,1,1,4.36,3.5
Mike Hoffman,5900,RW,OTT,FLO,1,1,4.35,5.0
Shayne Gostisbehere,5600,D,PHI,VGK,5,1,4.34,3.0
Anze Kopitar,6900,C,LAK,VAN,1,1,4.33,5.0
Cam Fowler,4800,D,ANA,STL,5,1,4.24,1.0
Patrik Laine,7500,RW,WPJ,WSH,1,1,4.22,6.0
Blake Wheeler,6900,RW,WPJ,WSH,2,1,4.22,1.0
Joe Pavelski,6800,C,SJS,DET,1,1,4.2,5.0
Brayden Schenn,5200,C,STL,ANA,1,1,4.19,4.0
Seth Jones,6500,D,CBJ,MTL,5,1,4.16,7.5
Evgeny Kuznetsov,5800,C,WSH,WPJ,1,1,4.13,7.5
Evgenii Dadonov,6900,LW,FLO,OTT,1,1,4.1,4.0
John Carlson,5800,D,WSH,WPJ,6,1,4.08,5.5
Evander Kane,6800,LW,SJS,DET,1,1,4.04,4.0
Jonathan Marchessault,7000,LW,VGK,PHI,1,1,4.03,2.0
Brendan Gallagher,5300,RW,MTL,CBJ,1,1,4.01,4.0
Teuvo Teravainen,5600,RW,CAR,NYR,1,1,4.0,4.5
Matt Duchene,5500,C,OTT,FLO,1,1,3.97,8.0
Keith Yandle,6000,D,FLO,OTT,5,1,3.96,2.5
William Karlsson,7000,C,VGK,PHI,1,1,3.95,5.5
Mika Zibanejad,5300,C,NYR,CAR,1,1,3.84,8.0
Jonathan Huberdeau,6300,LW,FLO,OTT,2,1,3.78,6.5
Nicklas Backstrom,5400,C,WSH,WPJ,2,1,3.76,5.0
Corey Perry,5400,RW,ANA,STL,1,2,3.7,4.5
Dustin Byfuglien,5500,D,WPJ,WSH,5,1,3.69,4.5
Logan Couture,6200,C,SJS,DET,2,1,3.69,0.5
Ivan Provorov,4900,D,PHI,VGK,5,2,3.67,1.5
Cam Atkinson,6600,RW,CBJ,MTL,1,1,3.66,3.0
Jordan Staal,4700,C,CAR,NYR,1,1,3.65,1.0
Colton Parayko,4600,D,STL,ANA,6,2,3.53,1.5
Alexander Steen,4600,LW,STL,ANA,2,1,3.47,0.0
Jeff Petry,4500,D,MTL,CBJ,5,1,3.47,3.5
Alexander Edler,5000,D,VAN,LAK,5,1,3.46,2.0
Aaron Ekblad,5300,D,FLO,OTT,5,2,3.44,1.0
Henrik Zetterberg,4900,C,DET,SJS,1,1,3.41,5.5
Drew Doughty,5400,D,LAK,VAN,5,1,3.4,3.0
Jaccob Slavin,3900,D,CAR,NYR,5,2,3.33,1.0
Jeff Skinner,5300,LW,CAR,NYR,3,2,3.31,5.0
Jonathan Drouin,4400,C,MTL,CBJ,1,1,3.28,4.0
Dylan Larkin,5000,C,DET,SJS,2,2,3.26,1.0
Jakob Silfverberg,4500,RW,ANA,STL,2,2,3.21,1.0
Gustav Nyquist,4100,RW,DET,SJS,1,1,3.2,6.0
Brandon Montour,4000,D,ANA,STL,5,1,3.15,4.0
Mats Zuccarello,4700,RW,NYR,CAR,2,1,3.14,8.0
Bo Horvat,5600,C,VAN,LAK,2,1,3.14,2.5
Elias Lindholm,4500,C,CAR,NYR,2,1,3.13,1.5
Justin Williams,4900,RW,CAR,NYR,2,2,3.12,3.0
Adam Henrique,4800,C,ANA,STL,3,1,3.09,1.0
Dustin Brown,5800,RW,LAK,VAN,1,1,3.07,0.5
Zach Werenski,5200,D,CBJ,MTL,5,2,3.06,2.5
Pierre-Luc Dubois,5900,C,CBJ,MTL,1,1,3.05,0.5
Nikolaj Ehlers,6500,LW,WPJ,WSH,1,2,3.0,4.5
Bobby Ryan,3900,LW,OTT,FLO,2,1,3.0,2.5
Jean-Gabriel Pageau,3800,C,OTT,FLO,2,1,3.0,5.0
Alex Galchenyuk,4800,LW,MTL,CBJ,3,1,2.99,2.5
David Perron,5700,LW,VGK,PHI,2,2,2.95,2.5
Travis Konecny,4700,RW,PHI,VGK,1,2,2.95,4.5
Hampus Lindholm,4100,D,ANA,STL,6,2,2.9,3.0
Jeff Carter,6600,C,LAK,VAN,2,1,2.86,2.0
Nick Bjugstad,5700,RW,FLO,OTT,1,2,2.86,5.0
Erik Haula,5700,C,VGK,PHI,2,2,2.84,4.0
Wayne Simmonds,4800,RW,PHI,VGK,3,1,2.82,6.0
Cody Ceci,3500,D,OTT,FLO,6,2,2.82,2.0
Ryan Kesler,3900,C,ANA,STL,2,2,2.79,0.0
Chris Kreider,4500,LW,NYR,CAR,1,1,2.78,1.0
Anthony Mantha,4800,LW,DET,SJS,2,2,2.74,1.5
Nick Foligno,4300,C,CBJ,MTL,2,2,2.72,3.5
Marc-Edouard Vlasic,4400,D,SJS,DET,6,2,2.66,2.0
Matt Niskanen,3600,D,WSH,WPJ,5,2,2.63,1.5
Paul Stastny,6000,C,WPJ,WSH,1,2,2.56,3.0
T.J. Oshie,4500,RW,WSH,WPJ,3,1,2.56,2.5
Mike Matheson,4700,D,FLO,OTT,6,2,2.54,6.0
Daniel Sedin,4900,LW,VAN,LAK,1,1,2.54,1.5
Mike Green,4000,D,DET,SJS,7,2,2.54,0.5
Kevin Hayes,4600,C,NYR,CAR,2,2,2.52,0.5
Tomas Hertl,4900,RW,SJS,DET,2,1,2.5,1.0
Colin Miller,4500,D,VGK,PHI,6,2,2.48,0.5
Vladislav Namestnikov,4200,C,NYR,CAR,3,2,2.48,5.0
Dmitry Orlov,3500,D,WSH,WPJ,5,2,2.44,3.0
Jake Muzzin,4300,D,LAK,VAN,7,1,2.44,4.0
Artturi Lehkonen,3600,LW,MTL,CBJ,2,1,2.42,3.0
Kyle Connor,5000,LW,WPJ,WSH,2,1,2.4,2.5
Alexander Wennberg,4100,C,CBJ,MTL,3,1,2.36,10.0
Noah Hanifin,3700,D,CAR,NYR,7,2,2.31,1.5
Ryan Dzingel,3400,LW,OTT,FLO,1,0,2.29,1.0
Pavel Buchnevich,4100,RW,NYR,CAR,3,1,2.27,7.0
Nolan Patrick,4300,C,PHI,VGK,2,2,2.26,1.5
Oliver Bjorkstrand,4300,RW,CBJ,MTL,2,2,2.24,0.5
Patrik Berglund,3100,RW,STL,ANA,2,0,2.23,4.0
Dion Phaneuf,4300,D,LAK,VAN,6,2,2.22,1.5
Nate Schmidt,4200,D,VGK,PHI,5,2,2.19,2.0
Joonas Donskoi,4600,RW,SJS,DET,1,0,2.18,4.0
Ryan Spooner,5100,LW,NYR,CAR,2,2,2.17,3.5
Tyler Toffoli,5600,RW,LAK,VAN,3,2,2.14,7.5
Ondrej Kase,3700,RW,ANA,STL,3,2,2.13,0.0
