C,C,W,W,W,D,D,G,UTIL,PROJ,ACTUAL
Nathan MacKinnon,Nazem Kadri,Gabriel Landeskog,Mitchell Marner,Patrick Marleau,Erik Johnson,Dmitry Orlov,Marc-Andre Fleury,Brady Skjei,31.38,27.3
Nathan MacKinnon,Derek Stepan,Mikko Rantanen,Gabriel Landeskog,Clayton Keller,Ivan Provorov,Samuel Girard,Braden Holtby,Blake Comeau,31.38,27.5
Evgeny Kuznetsov,Carl Soderberg,Alex Ovechkin,Tom Wilson,Matt Nieto,John Carlson,Oliver Ekman-Larsson,Braden Holtby,Erik Johnson,31.36,33.0
Nathan MacKinnon,Auston Matthews,Gabriel Landeskog,William Nylander,Zach Hyman,Oliver Ekman-Larsson,Erik Johnson,Henrik Lundqvist,Alex Goligoski,31.36,27.0
Sean Couturier,Nolan Patrick,Claude Giroux,Jakub Voracek,Travis Konecny,Keith Yandle,Oliver Ekman-Larsson,Roberto Luongo,Neal Pionk,31.35,24.2
Nicklas Backstrom,Derek Stepan,Clayton Keller,T.J. Oshie,Richard Panik,Shayne Gostisbehere,Tyson Barrie,Braden Holtby,Alex Goligoski,31.35,33.5
Nicklas Backstrom,Mika Zibanejad,T.J. Oshie,Chris Kreider,Andre Burakovsky,Keith Yandle,Morgan Rielly,Marc-Andre Fleury,Jake Gardiner,31.33,32.8
Vincent Trocheck,Denis Malgin,Mikko Rantanen,Gabriel Landeskog,Jonathan Huberdeau,Keith Yandle,Jake Gardiner,Braden Holtby,Samuel Girard,31.32,37.0
Nathan MacKinnon,Nazem Kadri,Mitchell Marner,Patrick Marleau,Blake Comeau,John Carlson,Tyson Barrie,Braden Holtby,Matt Nieto,31.31,30.0
Sean Couturier,Mika Zibanejad,Claude Giroux,William Nylander,Travis Konecny,Tyson Barrie,Jake Gardiner,Henrik Lundqvist,Zach Hyman,31.29,23.0
Evgeny Kuznetsov,Sean Couturier,Alex Ovechkin,Claude Giroux,Tom Wilson,Oliver Ekman-Larsson,Dmitry Orlov,Antti Raanta,Samuel Girard,31.28,24.9
Nathan MacKinnon,Derek Stepan,Mikko Rantanen,Gabriel Landeskog,Richard Panik,Keith Yandle,Erik Johnson,Henrik Lundqvist,Brady Skjei,31.28,29.5
Evgeny Kuznetsov,Derek Stepan,Alex Ovechkin,Clayton Keller,Richard Panik,Morgan Rielly,Dmitry Orlov,Braden Holtby,Samuel Girard,31.27,29.5
Auston Matthews,Carl Soderberg,Claude Giroux,William Nylander,Zach Hyman,John Carlson,Keith Yandle,Marc-Andre Fleury,Matt Nieto,31.24,31.3
Evgeny Kuznetsov,Mika Zibanejad,Alex Ovechkin,Chris Kreider,Jesper Fast,Tyson Barrie,Brady Skjei,Marc-Andre Fleury,Samuel Girard,31.18,24.8
Mika Zibanejad,Nazem Kadri,Mitchell Marner,Chris Kreider,Patrick Marleau,Keith Yandle,Tyson Barrie,Marc-Andre Fleury,Tyson Jost,31.18,26.8
Nathan MacKinnon,Vincent Trocheck,Mikko Rantanen,Jonathan Huberdeau,Jimmy Vesey,Oliver Ekman-Larsson,Dmitry Orlov,Roberto Luongo,Denis Malgin,31.13,27.2
Vincent Trocheck,Sean Couturier,Claude Giroux,Wayne Simmonds,Travis Konecny,Jake Gardiner,Mike Matheson,Braden Holtby,Jordan Weal,31.12,31.5
Nathan MacKinnon,Nicklas Backstrom,Mikko Rantanen,T.J. Oshie,Jimmy Vesey,Tyson Barrie,Brady Skjei,Marc-Andre Fleury,Andre Burakovsky,31.12,27.8
Aleksander Barkov,Carl Soderberg,Evgenii Dadonov,Nick Bjugstad,Blake Comeau,Tyson Barrie,Oliver Ekman-Larsson,Braden Holtby,Erik Johnson,31.07,25.5
Nathan MacKinnon,Sean Couturier,Mikko Rantanen,Gabriel Landeskog,Tyson Jost,Morgan Rielly,Oliver Ekman-Larsson,Antti Raanta,Alexander Kerfoot,31.07,22.9
Nathan MacKinnon,Sean Couturier,Mikko Rantanen,Gabriel Landeskog,Ryan Spooner,Erik Johnson,Neal Pionk,Roberto Luongo,Jimmy Vesey,31.06,22.2
Mika Zibanejad,Derek Stepan,Clayton Keller,Chris Kreider,Richard Panik,Shayne Gostisbehere,Keith Yandle,Roberto Luongo,Erik Johnson,31.06,30.2
Auston Matthews,Nicklas Backstrom,Jakub Voracek,T.J. Oshie,William Nylander,Dmitry Orlov,Alex Goligoski,Braden Holtby,Zach Hyman,31.06,32.5
Sean Couturier,Nicklas Backstrom,Claude Giroux,T.J. Oshie,Travis Konecny,Shayne Gostisbehere,Alex Goligoski,Roberto Luongo,Blake Comeau,31.05,27.2
