playerName,sal,team,opp,proj,actual
Philipp Grubauer,7200,WSH,CGY,6.45,5.2
Mike Smith,7800,CGY,WSH,6.31,8.0
Scott Darling,7200,CAR,ANA,4.72,1.4
Connor Hellebuyck,7100,WPJ,PIT,3.84,8.2
