C,C,W,W,W,W,D,D,G,PROJ,ACTUAL
Nathan MacKinnon,Sean Couturier,Claude Giroux,Clayton Keller,Travis Konecny,Richard Panik,John Carlson,Ivan Provorov,Braden Holtby,34.91,33.5
Nathan MacKinnon,Mika Zibanejad,Mikko Rantanen,Jakub Voracek,Gabriel Landeskog,Oskar Lindblom,Shayne Gostisbehere,Keith Yandle,Roberto Luongo,34.82,23.7
Nathan MacKinnon,Nolan Patrick,Alex Ovechkin,Jakub Voracek,Gabriel Landeskog,Oskar Lindblom,John Carlson,Tyson Barrie,Braden Holtby,34.74,21.5
Nathan MacKinnon,Nazem Kadri,Claude Giroux,Mikko Rantanen,Gabriel Landeskog,Travis Konecny,Shayne Gostisbehere,Ivan Provorov,Henrik Lundqvist,34.72,27.5
Evgeny Kuznetsov,Mika Zibanejad,Alex Ovechkin,Jakub Voracek,Chris Kreider,Tom Wilson,Tyson Barrie,Aaron Ekblad,Marc-Andre Fleury,34.7,23.3
Nathan MacKinnon,Nazem Kadri,Mikko Rantanen,Gabriel Landeskog,Mitchell Marner,Clayton Keller,John Carlson,Oliver Ekman-Larsson,Antti Raanta,34.67,26.9
Vincent Trocheck,Denis Malgin,Alex Ovechkin,Claude Giroux,Jonathan Huberdeau,Travis Konecny,Keith Yandle,Erik Johnson,Marc-Andre Fleury,34.64,35.3
Vincent Trocheck,Auston Matthews,Alex Ovechkin,Jonathan Huberdeau,William Nylander,Zach Hyman,Erik Johnson,Dmitry Orlov,Braden Holtby,34.62,38.5
Auston Matthews,Sean Couturier,Claude Giroux,Mitchell Marner,William Nylander,Travis Konecny,Morgan Rielly,Erik Johnson,Marc-Andre Fleury,34.62,32.8
Vincent Trocheck,Evgeny Kuznetsov,Alex Ovechkin,Jonathan Huberdeau,James Neal,Tom Wilson,Oliver Ekman-Larsson,Jake Gardiner,Braden Holtby,34.61,41.5
Nathan MacKinnon,Auston Matthews,Mikko Rantanen,Jakub Voracek,Gabriel Landeskog,William Nylander,Erik Johnson,Jake Gardiner,Henrik Lundqvist,34.6,28.0
Nicklas Backstrom,Nazem Kadri,Alex Ovechkin,Mitchell Marner,T.J. Oshie,Patrick Marleau,Keith Yandle,Erik Johnson,Marc-Andre Fleury,34.59,34.8
Aleksander Barkov,Derek Stepan,Jakub Voracek,Evgenii Dadonov,Clayton Keller,Richard Panik,John Carlson,Keith Yandle,Braden Holtby,34.56,30.5
Nathan MacKinnon,Auston Matthews,Alex Ovechkin,Mikko Rantanen,Gabriel Landeskog,Zach Hyman,Ivan Provorov,Dmitry Orlov,Antti Raanta,34.55,27.9
Aleksander Barkov,Sean Couturier,Claude Giroux,Mikko Rantanen,Gabriel Landeskog,Travis Konecny,John Carlson,Neal Pionk,Antti Raanta,34.51,21.4
